,Date,Day,Time,Pred(Ft),Pred(cm),High/Low,DateTime (UTC),Subordinate DateTime (Adjusted)
45,1/12/2022,Wed,9:05:00 PM,2.86,87,H,2022-01-12 21:05:00,2022-01-12 21:14:00
46,1/13/2022,Thu,3:56:00 AM,0.52,16,L,2022-01-13 03:56:00,2022-01-13 04:02:00
47,1/13/2022,Thu,9:36:00 AM,3.69,112,H,2022-01-13 09:36:00,2022-01-13 09:45:00
48,1/13/2022,Thu,5:08:00 PM,0.32,10,L,2022-01-13 17:08:00,2022-01-13 17:14:00
49,1/13/2022,Thu,10:01:00 PM,2.9,88,H,2022-01-13 22:01:00,2022-01-13 22:10:00
50,1/14/2022,Fri,4:03:00 AM,0.53,16,L,2022-01-14 04:03:00,2022-01-14 04:09:00
51,1/14/2022,Fri,10:24:00 AM,3.8,116,H,2022-01-14 10:24:00,2022-01-14 10:33:00
52,1/14/2022,Fri,5:53:00 PM,0.3,9,L,2022-01-14 17:53:00,2022-01-14 17:59:00
53,1/14/2022,Fri,10:46:00 PM,2.98,91,H,2022-01-14 22:46:00,2022-01-14 22:55:00
54,1/15/2022,Sat,4:08:00 AM,0.48,15,L,2022-01-15 04:08:00,2022-01-15 04:14:00
55,1/15/2022,Sat,11:05:00 AM,3.9,119,H,2022-01-15 11:05:00,2022-01-15 11:14:00
56,1/15/2022,Sat,6:38:00 PM,0.3,9,L,2022-01-15 18:38:00,2022-01-15 18:44:00
57,1/15/2022,Sat,11:26:00 PM,3.06,93,H,2022-01-15 23:26:00,2022-01-15 23:35:00
58,1/16/2022,Sun,4:37:00 AM,0.4,12,L,2022-01-16 04:37:00,2022-01-16 04:43:00
59,1/16/2022,Sun,11:43:00 AM,3.96,121,H,2022-01-16 11:43:00,2022-01-16 11:52:00
60,1/16/2022,Sun,7:14:00 PM,0.3,9,L,2022-01-16 19:14:00,2022-01-16 19:20:00
61,1/17/2022,Mon,12:05:00 AM,3.12,95,H,2022-01-17 00:05:00,2022-01-17 00:14:00
62,1/17/2022,Mon,5:11:00 AM,0.3,9,L,2022-01-17 05:11:00,2022-01-17 05:17:00
63,1/17/2022,Mon,12:21:00 PM,3.98,121,H,2022-01-17 12:21:00,2022-01-17 12:30:00
64,1/17/2022,Mon,6:19:00 PM,0.24,7,L,2022-01-17 18:19:00,2022-01-17 18:25:00
65,1/18/2022,Tue,12:45:00 AM,3.19,97,H,2022-01-18 00:45:00,2022-01-18 00:54:00
66,1/18/2022,Tue,5:51:00 AM,0.18,5,L,2022-01-18 05:51:00,2022-01-18 05:57:00
67,1/18/2022,Tue,1:02:00 PM,3.98,121,H,2022-01-18 13:02:00,2022-01-18 13:11:00
68,1/18/2022,Tue,6:47:00 PM,0.08,2,L,2022-01-18 18:47:00,2022-01-18 18:53:00
69,1/19/2022,Wed,1:27:00 AM,3.27,100,H,2022-01-19 01:27:00,2022-01-19 01:36:00
70,1/19/2022,Wed,6:35:00 AM,0.06,2,L,2022-01-19 06:35:00,2022-01-19 06:41:00
71,1/19/2022,Wed,1:43:00 PM,3.96,121,H,2022-01-19 13:43:00,2022-01-19 13:52:00
72,1/19/2022,Wed,7:21:00 PM,-0.11,-3,L,2022-01-19 19:21:00,2022-01-19 19:27:00
73,1/20/2022,Thu,2:09:00 AM,3.39,103,H,2022-01-20 02:09:00,2022-01-20 02:18:00
74,1/20/2022,Thu,7:21:00 AM,-0.09,-3,L,2022-01-20 07:21:00,2022-01-20 07:27:00
75,1/20/2022,Thu,2:23:00 PM,3.92,119,H,2022-01-20 14:23:00,2022-01-20 14:32:00
76,1/20/2022,Thu,7:56:00 PM,-0.3,-9,L,2022-01-20 19:56:00,2022-01-20 20:02:00
77,1/21/2022,Fri,2:50:00 AM,3.52,107,H,2022-01-21 02:50:00,2022-01-21 02:59:00
78,1/21/2022,Fri,8:05:00 AM,-0.21,-6,L,2022-01-21 08:05:00,2022-01-21 08:11:00
79,1/21/2022,Fri,3:05:00 PM,3.83,117,H,2022-01-21 15:05:00,2022-01-21 15:14:00
80,1/21/2022,Fri,8:32:00 PM,-0.45,-14,L,2022-01-21 20:32:00,2022-01-21 20:38:00
81,1/22/2022,Sat,3:33:00 AM,3.64,111,H,2022-01-22 03:33:00,2022-01-22 03:42:00
82,1/22/2022,Sat,8:47:00 AM,-0.26,-8,L,2022-01-22 08:47:00,2022-01-22 08:53:00
83,1/22/2022,Sat,3:49:00 PM,3.7,113,H,2022-01-22 15:49:00,2022-01-22 15:58:00
84,1/22/2022,Sat,9:09:00 PM,-0.52,-16,L,2022-01-22 21:09:00,2022-01-22 21:15:00
85,1/23/2022,Sun,4:21:00 AM,3.75,114,H,2022-01-23 04:21:00,2022-01-23 04:30:00
86,1/23/2022,Sun,9:31:00 AM,-0.21,-6,L,2022-01-23 09:31:00,2022-01-23 09:37:00
87,1/23/2022,Sun,4:40:00 PM,3.54,108,H,2022-01-23 16:40:00,2022-01-23 16:49:00
88,1/23/2022,Sun,9:51:00 PM,-0.49,-15,L,2022-01-23 21:51:00,2022-01-23 21:57:00
89,1/24/2022,Mon,5:15:00 AM,3.87,118,H,2022-01-24 05:15:00,2022-01-24 05:24:00
90,1/24/2022,Mon,10:25:00 AM,-0.07,-2,L,2022-01-24 10:25:00,2022-01-24 10:31:00
91,1/24/2022,Mon,5:35:00 PM,3.4,104,H,2022-01-24 17:35:00,2022-01-24 17:44:00
92,1/24/2022,Mon,10:43:00 PM,-0.39,-12,L,2022-01-24 22:43:00,2022-01-24 22:49:00
93,1/25/2022,Tue,6:09:00 AM,3.98,121,H,2022-01-25 06:09:00,2022-01-25 06:18:00
94,1/25/2022,Tue,11:33:00 AM,0.06,2,L,2022-01-25 11:33:00,2022-01-25 11:39:00
95,1/25/2022,Tue,6:30:00 PM,3.28,100,H,2022-01-25 18:30:00,2022-01-25 18:39:00
96,1/25/2022,Tue,11:46:00 PM,-0.3,-9,L,2022-01-25 23:46:00,2022-01-25 23:52:00
97,1/26/2022,Wed,7:03:00 AM,4.07,124,H,2022-01-26 07:03:00,2022-01-26 07:12:00
98,1/26/2022,Wed,12:43:00 PM,0.1,3,L,2022-01-26 12:43:00,2022-01-26 12:49:00
99,1/26/2022,Wed,7:27:00 PM,3.19,97,H,2022-01-26 19:27:00,2022-01-26 19:36:00
100,1/27/2022,Thu,12:49:00 AM,-0.26,-8,L,2022-01-27 00:49:00,2022-01-27 00:55:00
101,1/27/2022,Thu,8:04:00 AM,4.14,126,H,2022-01-27 08:04:00,2022-01-27 08:13:00
102,1/27/2022,Thu,1:51:00 PM,0.08,2,L,2022-01-27 13:51:00,2022-01-27 13:57:00
103,1/27/2022,Thu,8:34:00 PM,3.17,97,H,2022-01-27 20:34:00,2022-01-27 20:43:00
104,1/28/2022,Fri,1:51:00 AM,-0.24,-7,L,2022-01-28 01:51:00,2022-01-28 01:57:00
105,1/28/2022,Fri,9:12:00 AM,4.29,131,H,2022-01-28 09:12:00,2022-01-28 09:21:00
106,1/28/2022,Fri,3:11:00 PM,0.0,0,L,2022-01-28 15:11:00,2022-01-28 15:17:00
107,1/28/2022,Fri,9:43:00 PM,3.33,101,H,2022-01-28 21:43:00,2022-01-28 21:52:00
108,1/29/2022,Sat,3:00:00 AM,-0.27,-8,L,2022-01-29 03:00:00,2022-01-29 03:06:00
109,1/29/2022,Sat,10:13:00 AM,4.51,137,H,2022-01-29 10:13:00,2022-01-29 10:22:00
110,1/29/2022,Sat,4:28:00 PM,-0.18,-5,L,2022-01-29 16:28:00,2022-01-29 16:34:00
111,1/29/2022,Sat,10:40:00 PM,3.59,109,H,2022-01-29 22:40:00,2022-01-29 22:49:00
112,1/30/2022,Sun,4:09:00 AM,-0.35,-11,L,2022-01-30 04:09:00,2022-01-30 04:15:00
113,1/30/2022,Sun,11:05:00 AM,4.69,143,H,2022-01-30 11:05:00,2022-01-30 11:14:00
114,1/30/2022,Sun,5:27:00 PM,-0.35,-11,L,2022-01-30 17:27:00,2022-01-30 17:33:00
115,1/30/2022,Sun,11:31:00 PM,3.83,117,H,2022-01-30 23:31:00,2022-01-30 23:40:00
116,1/31/2022,Mon,5:08:00 AM,-0.43,-13,L,2022-01-31 05:08:00,2022-01-31 05:14:00
117,1/31/2022,Mon,11:54:00 AM,4.76,145,H,2022-01-31 11:54:00,2022-01-31 12:03:00
118,1/31/2022,Mon,6:27:00 PM,-0.48,-15,L,2022-01-31 18:27:00,2022-01-31 18:33:00
119,2/1/2022,Tue,12:20:00 AM,4.0,122,H,2022-02-01 00:20:00,2022-02-01 00:29:00
120,2/1/2022,Tue,6:09:00 AM,-0.46,-14,L,2022-02-01 06:09:00,2022-02-01 06:15:00
121,2/1/2022,Tue,12:44:00 PM,4.72,144,H,2022-02-01 12:44:00,2022-02-01 12:53:00
122,2/1/2022,Tue,7:21:00 PM,-0.58,-18,L,2022-02-01 19:21:00,2022-02-01 19:27:00
123,2/2/2022,Wed,1:12:00 AM,4.11,125,H,2022-02-02 01:12:00,2022-02-02 01:21:00
124,2/2/2022,Wed,7:12:00 AM,-0.47,-14,L,2022-02-02 07:12:00,2022-02-02 07:18:00
125,2/2/2022,Wed,1:34:00 PM,4.59,140,H,2022-02-02 13:34:00,2022-02-02 13:43:00
126,2/2/2022,Wed,7:58:00 PM,-0.62,-19,L,2022-02-02 19:58:00,2022-02-02 20:04:00
127,2/3/2022,Thu,2:02:00 AM,4.17,127,H,2022-02-03 02:02:00,2022-02-03 02:11:00
128,2/3/2022,Thu,8:00:00 AM,-0.44,-13,L,2022-02-03 08:00:00,2022-02-03 08:06:00
129,2/3/2022,Thu,2:22:00 PM,4.4,134,H,2022-02-03 14:22:00,2022-02-03 14:31:00
130,2/3/2022,Thu,8:27:00 PM,-0.58,-18,L,2022-02-03 20:27:00,2022-02-03 20:33:00
131,2/4/2022,Fri,2:49:00 AM,4.17,127,H,2022-02-04 02:49:00,2022-02-04 02:58:00
132,2/4/2022,Fri,8:37:00 AM,-0.32,-10,L,2022-02-04 08:37:00,2022-02-04 08:43:00
133,2/4/2022,Fri,3:08:00 PM,4.13,126,H,2022-02-04 15:08:00,2022-02-04 15:17:00
134,2/4/2022,Fri,8:54:00 PM,-0.46,-14,L,2022-02-04 20:54:00,2022-02-04 21:00:00
135,2/5/2022,Sat,3:36:00 AM,4.09,125,H,2022-02-05 03:36:00,2022-02-05 03:45:00
136,2/5/2022,Sat,9:12:00 AM,-0.12,-4,L,2022-02-05 09:12:00,2022-02-05 09:18:00
137,2/5/2022,Sat,3:55:00 PM,3.82,116,H,2022-02-05 15:55:00,2022-02-05 16:04:00
138,2/5/2022,Sat,9:23:00 PM,-0.27,-8,L,2022-02-05 21:23:00,2022-02-05 21:29:00
139,2/6/2022,Sun,4:25:00 AM,3.96,121,H,2022-02-06 04:25:00,2022-02-06 04:34:00
140,2/6/2022,Sun,9:49:00 AM,0.14,4,L,2022-02-06 09:49:00,2022-02-06 09:55:00
141,2/6/2022,Sun,4:45:00 PM,3.51,107,H,2022-02-06 16:45:00,2022-02-06 16:54:00
142,2/6/2022,Sun,9:58:00 PM,-0.03,-1,L,2022-02-06 21:58:00,2022-02-06 22:04:00
143,2/7/2022,Mon,5:17:00 AM,3.81,116,H,2022-02-07 05:17:00,2022-02-07 05:26:00
144,2/7/2022,Mon,10:38:00 AM,0.43,13,L,2022-02-07 10:38:00,2022-02-07 10:44:00
145,2/7/2022,Mon,5:38:00 PM,3.23,98,H,2022-02-07 17:38:00,2022-02-07 17:47:00
146,2/7/2022,Mon,10:42:00 PM,0.23,7,L,2022-02-07 22:42:00,2022-02-07 22:48:00
147,2/8/2022,Tue,6:08:00 AM,3.68,112,H,2022-02-08 06:08:00,2022-02-08 06:17:00
148,2/8/2022,Tue,11:57:00 AM,0.65,20,L,2022-02-08 11:57:00,2022-02-08 12:03:00
149,2/8/2022,Tue,6:29:00 PM,3.0,91,H,2022-02-08 18:29:00,2022-02-08 18:38:00
150,2/8/2022,Tue,11:40:00 PM,0.45,14,L,2022-02-08 23:40:00,2022-02-08 23:46:00
151,2/9/2022,Wed,6:58:00 AM,3.55,108,H,2022-02-09 06:58:00,2022-02-09 07:07:00
152,2/9/2022,Wed,2:45:00 PM,0.7,21,L,2022-02-09 14:45:00,2022-02-09 14:51:00
153,2/9/2022,Wed,7:20:00 PM,2.8,85,H,2022-02-09 19:20:00,2022-02-09 19:29:00
154,2/10/2022,Thu,12:38:00 AM,0.58,18,L,2022-02-10 00:38:00,2022-02-10 00:44:00
155,2/10/2022,Thu,7:53:00 AM,3.44,105,H,2022-02-10 07:53:00,2022-02-10 08:02:00
156,2/10/2022,Thu,3:54:00 PM,0.62,19,L,2022-02-10 15:54:00,2022-02-10 16:00:00
157,2/10/2022,Thu,8:21:00 PM,2.68,82,H,2022-02-10 20:21:00,2022-02-10 20:30:00
158,2/11/2022,Fri,1:32:00 AM,0.65,20,L,2022-02-11 01:32:00,2022-02-11 01:38:00
159,2/11/2022,Fri,8:56:00 AM,3.44,105,H,2022-02-11 08:56:00,2022-02-11 09:05:00
160,2/11/2022,Fri,4:45:00 PM,0.52,16,L,2022-02-11 16:45:00,2022-02-11 16:51:00
161,2/11/2022,Fri,9:27:00 PM,2.72,83,H,2022-02-11 21:27:00,2022-02-11 21:36:00
162,2/12/2022,Sat,2:33:00 AM,0.66,20,L,2022-02-12 02:33:00,2022-02-12 02:39:00
163,2/12/2022,Sat,9:55:00 AM,3.56,109,H,2022-02-12 09:55:00,2022-02-12 10:04:00
164,2/12/2022,Sat,5:28:00 PM,0.44,13,L,2022-02-12 17:28:00,2022-02-12 17:34:00
165,2/12/2022,Sat,10:21:00 PM,2.89,88,H,2022-02-12 22:21:00,2022-02-12 22:30:00
166,2/13/2022,Sun,3:38:00 AM,0.58,18,L,2022-02-13 03:38:00,2022-02-13 03:44:00
167,2/13/2022,Sun,10:41:00 AM,3.73,114,H,2022-02-13 10:41:00,2022-02-13 10:50:00
168,2/13/2022,Sun,6:07:00 PM,0.38,12,L,2022-02-13 18:07:00,2022-02-13 18:13:00
169,2/13/2022,Sun,11:03:00 PM,3.08,94,H,2022-02-13 23:03:00,2022-02-13 23:12:00
170,2/14/2022,Mon,4:20:00 AM,0.44,13,L,2022-02-14 04:20:00,2022-02-14 04:26:00
171,2/14/2022,Mon,11:20:00 AM,3.87,118,H,2022-02-14 11:20:00,2022-02-14 11:29:00
172,2/14/2022,Mon,6:32:00 PM,0.33,10,L,2022-02-14 18:32:00,2022-02-14 18:38:00
173,2/14/2022,Mon,11:42:00 PM,3.26,99,H,2022-02-14 23:42:00,2022-02-14 23:51:00
174,2/15/2022,Tue,4:57:00 AM,0.28,9,L,2022-02-15 04:57:00,2022-02-15 05:03:00
175,2/15/2022,Tue,11:58:00 AM,3.97,121,H,2022-02-15 11:58:00,2022-02-15 12:07:00
176,2/15/2022,Tue,5:48:00 PM,0.19,6,L,2022-02-15 17:48:00,2022-02-15 17:54:00
177,2/16/2022,Wed,12:20:00 AM,3.44,105,H,2022-02-16 00:20:00,2022-02-16 00:29:00
178,2/16/2022,Wed,5:36:00 AM,0.1,3,L,2022-02-16 05:36:00,2022-02-16 05:42:00
179,2/16/2022,Wed,12:37:00 PM,4.01,122,H,2022-02-16 12:37:00,2022-02-16 12:46:00
180,2/16/2022,Wed,6:17:00 PM,-0.02,-1,L,2022-02-16 18:17:00,2022-02-16 18:23:00
181,2/17/2022,Thu,1:01:00 AM,3.62,110,H,2022-02-17 01:01:00,2022-02-17 01:10:00
182,2/17/2022,Thu,6:20:00 AM,-0.08,-2,L,2022-02-17 06:20:00,2022-02-17 06:26:00
183,2/17/2022,Thu,1:18:00 PM,4.03,123,H,2022-02-17 13:18:00,2022-02-17 13:27:00
184,2/17/2022,Thu,6:53:00 PM,-0.25,-8,L,2022-02-17 18:53:00,2022-02-17 18:59:00
185,2/18/2022,Fri,1:42:00 AM,3.81,116,H,2022-02-18 01:42:00,2022-02-18 01:51:00
186,2/18/2022,Fri,7:06:00 AM,-0.27,-8,L,2022-02-18 07:06:00,2022-02-18 07:12:00
187,2/18/2022,Fri,1:59:00 PM,4.01,122,H,2022-02-18 13:59:00,2022-02-18 14:08:00
188,2/18/2022,Fri,7:31:00 PM,-0.47,-14,L,2022-02-18 19:31:00,2022-02-18 19:37:00
189,2/19/2022,Sat,2:23:00 AM,3.99,122,H,2022-02-19 02:23:00,2022-02-19 02:32:00
190,2/19/2022,Sat,7:50:00 AM,-0.42,-13,L,2022-02-19 07:50:00,2022-02-19 07:56:00
191,2/19/2022,Sat,2:40:00 PM,3.94,120,H,2022-02-19 14:40:00,2022-02-19 14:49:00
192,2/19/2022,Sat,8:08:00 PM,-0.64,-20,L,2022-02-19 20:08:00,2022-02-19 20:14:00
193,2/20/2022,Sun,3:05:00 AM,4.12,126,H,2022-02-20 03:05:00,2022-02-20 03:14:00
194,2/20/2022,Sun,8:32:00 AM,-0.49,-15,L,2022-02-20 08:32:00,2022-02-20 08:38:00
195,2/20/2022,Sun,3:24:00 PM,3.81,116,H,2022-02-20 15:24:00,2022-02-20 15:33:00
196,2/20/2022,Sun,8:46:00 PM,-0.7,-21,L,2022-02-20 20:46:00,2022-02-20 20:52:00
197,2/21/2022,Mon,3:52:00 AM,4.18,127,H,2022-02-21 03:52:00,2022-02-21 04:01:00
198,2/21/2022,Mon,9:15:00 AM,-0.43,-13,L,2022-02-21 09:15:00,2022-02-21 09:21:00
199,2/21/2022,Mon,4:14:00 PM,3.63,111,H,2022-02-21 16:14:00,2022-02-21 16:23:00
200,2/21/2022,Mon,9:27:00 PM,-0.64,-20,L,2022-02-21 21:27:00,2022-02-21 21:33:00
201,2/22/2022,Tue,4:45:00 AM,4.18,127,H,2022-02-22 04:45:00,2022-02-22 04:54:00
202,2/22/2022,Tue,10:04:00 AM,-0.23,-7,L,2022-02-22 10:04:00,2022-02-22 10:10:00
203,2/22/2022,Tue,5:10:00 PM,3.45,105,H,2022-02-22 17:10:00,2022-02-22 17:19:00
204,2/22/2022,Tue,10:16:00 PM,-0.45,-14,L,2022-02-22 22:16:00,2022-02-22 22:22:00
205,2/23/2022,Wed,5:43:00 AM,4.17,127,H,2022-02-23 05:43:00,2022-02-23 05:52:00
206,2/23/2022,Wed,11:07:00 AM,0.02,1,L,2022-02-23 11:07:00,2022-02-23 11:13:00
207,2/23/2022,Wed,6:08:00 PM,3.32,101,H,2022-02-23 18:08:00,2022-02-23 18:17:00
208,2/23/2022,Wed,11:18:00 PM,-0.22,-7,L,2022-02-23 23:18:00,2022-02-23 23:24:00
209,2/24/2022,Thu,6:41:00 AM,4.13,126,H,2022-02-24 06:41:00,2022-02-24 06:50:00
210,2/24/2022,Thu,12:22:00 PM,0.18,5,L,2022-02-24 12:22:00,2022-02-24 12:28:00
211,2/24/2022,Thu,7:08:00 PM,3.22,98,H,2022-02-24 19:08:00,2022-02-24 19:17:00
212,2/25/2022,Fri,12:29:00 AM,-0.07,-2,L,2022-02-25 00:29:00,2022-02-25 00:35:00
213,2/25/2022,Fri,7:43:00 AM,4.09,125,H,2022-02-25 07:43:00,2022-02-25 07:52:00
214,2/25/2022,Fri,1:38:00 PM,0.24,7,L,2022-02-25 13:38:00,2022-02-25 13:44:00
215,2/25/2022,Fri,8:15:00 PM,3.2,98,H,2022-02-25 20:15:00,2022-02-25 20:24:00
216,2/26/2022,Sat,1:39:00 AM,0.02,1,L,2022-02-26 01:39:00,2022-02-26 01:45:00
217,2/26/2022,Sat,8:53:00 AM,4.13,126,H,2022-02-26 08:53:00,2022-02-26 09:02:00
218,2/26/2022,Sat,3:34:00 PM,0.15,5,L,2022-02-26 15:34:00,2022-02-26 15:40:00
219,2/26/2022,Sat,9:28:00 PM,3.38,103,H,2022-02-26 21:28:00,2022-02-26 21:37:00
220,2/27/2022,Sun,3:01:00 AM,0.01,0,L,2022-02-27 03:01:00,2022-02-27 03:07:00
221,2/27/2022,Sun,9:59:00 AM,4.3,131,H,2022-02-27 09:59:00,2022-02-27 10:08:00
222,2/27/2022,Sun,4:48:00 PM,-0.07,-2,L,2022-02-27 16:48:00,2022-02-27 16:54:00
223,2/27/2022,Sun,10:28:00 PM,3.69,112,H,2022-02-27 22:28:00,2022-02-27 22:37:00
224,2/28/2022,Mon,4:25:00 AM,-0.12,-4,L,2022-02-28 04:25:00,2022-02-28 04:31:00
225,2/28/2022,Mon,10:53:00 AM,4.47,136,H,2022-02-28 10:53:00,2022-02-28 11:02:00
226,2/28/2022,Mon,5:38:00 PM,-0.25,-8,L,2022-02-28 17:38:00,2022-02-28 17:44:00
227,2/28/2022,Mon,11:18:00 PM,3.98,121,H,2022-02-28 23:18:00,2022-02-28 23:27:00
228,3/1/2022,Tue,5:27:00 AM,-0.24,-7,L,2022-03-01 05:27:00,2022-03-01 05:33:00
229,3/1/2022,Tue,11:40:00 AM,4.54,138,H,2022-03-01 11:40:00,2022-03-01 11:49:00
230,3/1/2022,Tue,6:27:00 PM,-0.37,-11,L,2022-03-01 18:27:00,2022-03-01 18:33:00
231,3/2/2022,Wed,12:04:00 AM,4.19,128,H,2022-03-02 00:04:00,2022-03-02 00:13:00
232,3/2/2022,Wed,6:27:00 AM,-0.32,-10,L,2022-03-02 06:27:00,2022-03-02 06:33:00
233,3/2/2022,Wed,12:26:00 PM,4.5,137,H,2022-03-02 12:26:00,2022-03-02 12:35:00
234,3/2/2022,Wed,7:09:00 PM,-0.42,-13,L,2022-03-02 19:09:00,2022-03-02 19:15:00
235,3/3/2022,Thu,12:51:00 AM,4.31,131,H,2022-03-03 00:51:00,2022-03-03 01:00:00
236,3/3/2022,Thu,7:18:00 AM,-0.35,-11,L,2022-03-03 07:18:00,2022-03-03 07:24:00
237,3/3/2022,Thu,1:12:00 PM,4.38,134,H,2022-03-03 13:12:00,2022-03-03 13:21:00
238,3/3/2022,Thu,7:37:00 PM,-0.42,-13,L,2022-03-03 19:37:00,2022-03-03 19:43:00
239,3/4/2022,Fri,1:37:00 AM,4.35,133,H,2022-03-04 01:37:00,2022-03-04 01:46:00
240,3/4/2022,Fri,7:52:00 AM,-0.32,-10,L,2022-03-04 07:52:00,2022-03-04 07:58:00
241,3/4/2022,Fri,1:57:00 PM,4.21,128,H,2022-03-04 13:57:00,2022-03-04 14:06:00
242,3/4/2022,Fri,7:57:00 PM,-0.37,-11,L,2022-03-04 19:57:00,2022-03-04 20:03:00
243,3/5/2022,Sat,2:21:00 AM,4.32,132,H,2022-03-05 02:21:00,2022-03-05 02:30:00
244,3/5/2022,Sat,8:18:00 AM,-0.23,-7,L,2022-03-05 08:18:00,2022-03-05 08:24:00
