Date,Day,Time,Pred(Ft),Pred(cm),High/Low,DateTime (UTC),Subordinate DateTime (Adjusted)
1/17/2022,Mon,10:11:00 PM,0.11,3,L,2022-01-17 22:11:00,2022-01-17 22:12:00
1/18/2022,Tue,4:24:00 AM,8.56,261,H,2022-01-18 04:24:00,2022-01-18 04:27:00
1/18/2022,Tue,10:12:00 AM,1.05,32,L,2022-01-18 10:12:00,2022-01-18 10:13:00
1/18/2022,Tue,4:25:00 PM,9.97,304,H,2022-01-18 16:25:00,2022-01-18 16:28:00
1/18/2022,Tue,10:49:00 PM,-0.02,-1,L,2022-01-18 22:49:00,2022-01-18 22:50:00
1/19/2022,Wed,5:02:00 AM,8.68,265,H,2022-01-19 05:02:00,2022-01-19 05:05:00
1/19/2022,Wed,10:52:00 AM,0.93,28,L,2022-01-19 10:52:00,2022-01-19 10:53:00
1/19/2022,Wed,5:04:00 PM,10.02,305,H,2022-01-19 17:04:00,2022-01-19 17:07:00
1/19/2022,Wed,11:27:00 PM,-0.12,-4,L,2022-01-19 23:27:00,2022-01-19 23:28:00
1/20/2022,Thu,5:40:00 AM,8.8,268,H,2022-01-20 05:40:00,2022-01-20 05:43:00
1/20/2022,Thu,11:32:00 AM,0.83,25,L,2022-01-20 11:32:00,2022-01-20 11:33:00
1/20/2022,Thu,5:43:00 PM,10.01,305,H,2022-01-20 17:43:00,2022-01-20 17:46:00
1/21/2022,Fri,12:05:00 AM,-0.15,-5,L,2022-01-21 00:05:00,2022-01-21 00:06:00
1/21/2022,Fri,6:17:00 AM,8.94,272,H,2022-01-21 06:17:00,2022-01-21 06:20:00
1/21/2022,Fri,12:13:00 PM,0.74,23,L,2022-01-21 12:13:00,2022-01-21 12:14:00
1/21/2022,Fri,6:22:00 PM,9.93,303,H,2022-01-21 18:22:00,2022-01-21 18:25:00
1/22/2022,Sat,12:43:00 AM,-0.12,-4,L,2022-01-22 00:43:00,2022-01-22 00:44:00
1/22/2022,Sat,6:55:00 AM,9.1,277,H,2022-01-22 06:55:00,2022-01-22 06:58:00
1/22/2022,Sat,12:56:00 PM,0.68,21,L,2022-01-22 12:56:00,2022-01-22 12:57:00
1/22/2022,Sat,7:04:00 PM,9.77,298,H,2022-01-22 19:04:00,2022-01-22 19:07:00
1/23/2022,Sun,1:24:00 AM,-0.03,-1,L,2022-01-23 01:24:00,2022-01-23 01:25:00
1/23/2022,Sun,7:35:00 AM,9.26,282,H,2022-01-23 07:35:00,2022-01-23 07:38:00
1/23/2022,Sun,1:42:00 PM,0.62,19,L,2022-01-23 13:42:00,2022-01-23 13:43:00
1/23/2022,Sun,7:49:00 PM,9.53,290,H,2022-01-23 19:49:00,2022-01-23 19:52:00
1/24/2022,Mon,2:08:00 AM,0.13,4,L,2022-01-24 02:08:00,2022-01-24 02:09:00
1/24/2022,Mon,8:19:00 AM,9.44,288,H,2022-01-24 08:19:00,2022-01-24 08:22:00
1/24/2022,Mon,2:33:00 PM,0.57,17,L,2022-01-24 14:33:00,2022-01-24 14:34:00
1/24/2022,Mon,8:39:00 PM,9.24,282,H,2022-01-24 20:39:00,2022-01-24 20:42:00
1/25/2022,Tue,2:56:00 AM,0.33,10,L,2022-01-25 02:56:00,2022-01-25 02:57:00
1/25/2022,Tue,9:08:00 AM,9.61,293,H,2022-01-25 09:08:00,2022-01-25 09:11:00
1/25/2022,Tue,3:29:00 PM,0.5,15,L,2022-01-25 15:29:00,2022-01-25 15:30:00
1/25/2022,Tue,9:35:00 PM,8.94,272,H,2022-01-25 21:35:00,2022-01-25 21:38:00
1/26/2022,Wed,3:48:00 AM,0.52,16,L,2022-01-26 03:48:00,2022-01-26 03:49:00
1/26/2022,Wed,10:01:00 AM,9.79,298,H,2022-01-26 10:01:00,2022-01-26 10:04:00
1/26/2022,Wed,4:28:00 PM,0.37,11,L,2022-01-26 16:28:00,2022-01-26 16:29:00
1/26/2022,Wed,10:35:00 PM,8.7,265,H,2022-01-26 22:35:00,2022-01-26 22:38:00
1/27/2022,Thu,4:45:00 AM,0.66,20,L,2022-01-27 04:45:00,2022-01-27 04:46:00
1/27/2022,Thu,10:58:00 AM,10.0,305,H,2022-01-27 10:58:00,2022-01-27 11:01:00
1/27/2022,Thu,5:30:00 PM,0.17,5,L,2022-01-27 17:30:00,2022-01-27 17:31:00
1/27/2022,Thu,11:38:00 PM,8.6,262,H,2022-01-27 23:38:00,2022-01-27 23:41:00
1/28/2022,Fri,5:44:00 AM,0.69,21,L,2022-01-28 05:44:00,2022-01-28 05:45:00
1/28/2022,Fri,11:59:00 AM,10.26,313,H,2022-01-28 11:59:00,2022-01-28 12:02:00
1/28/2022,Fri,6:34:00 PM,-0.13,-4,L,2022-01-28 18:34:00,2022-01-28 18:35:00
1/29/2022,Sat,12:45:00 AM,8.68,265,H,2022-01-29 00:45:00,2022-01-29 00:48:00
1/29/2022,Sat,6:46:00 AM,0.56,17,L,2022-01-29 06:46:00,2022-01-29 06:47:00
1/29/2022,Sat,1:02:00 PM,10.59,323,H,2022-01-29 13:02:00,2022-01-29 13:05:00
1/29/2022,Sat,7:36:00 PM,-0.54,-16,L,2022-01-29 19:36:00,2022-01-29 19:37:00
1/30/2022,Sun,1:49:00 AM,8.95,273,H,2022-01-30 01:49:00,2022-01-30 01:52:00
1/30/2022,Sun,7:47:00 AM,0.28,9,L,2022-01-30 07:47:00,2022-01-30 07:48:00
1/30/2022,Sun,2:03:00 PM,10.95,334,H,2022-01-30 14:03:00,2022-01-30 14:06:00
1/30/2022,Sun,8:35:00 PM,-0.97,-30,L,2022-01-30 20:35:00,2022-01-30 20:36:00
1/31/2022,Mon,2:48:00 AM,9.3,283,H,2022-01-31 02:48:00,2022-01-31 02:51:00
1/31/2022,Mon,8:45:00 AM,-0.06,-2,L,2022-01-31 08:45:00,2022-01-31 08:46:00
1/31/2022,Mon,3:00:00 PM,11.24,343,H,2022-01-31 15:00:00,2022-01-31 15:03:00
1/31/2022,Mon,9:29:00 PM,-1.29,-39,L,2022-01-31 21:29:00,2022-01-31 21:30:00
2/1/2022,Tue,3:43:00 AM,9.63,294,H,2022-02-01 03:43:00,2022-02-01 03:46:00
2/1/2022,Tue,9:40:00 AM,-0.35,-11,L,2022-02-01 09:40:00,2022-02-01 09:41:00
2/1/2022,Tue,3:55:00 PM,11.38,347,H,2022-02-01 15:55:00,2022-02-01 15:58:00
2/1/2022,Tue,10:21:00 PM,-1.46,-45,L,2022-02-01 22:21:00,2022-02-01 22:22:00
2/2/2022,Wed,4:36:00 AM,9.88,301,H,2022-02-02 04:36:00,2022-02-02 04:39:00
2/2/2022,Wed,10:33:00 AM,-0.52,-16,L,2022-02-02 10:33:00,2022-02-02 10:34:00
2/2/2022,Wed,4:48:00 PM,11.32,345,H,2022-02-02 16:48:00,2022-02-02 16:51:00
2/2/2022,Wed,11:11:00 PM,-1.42,-43,L,2022-02-02 23:11:00,2022-02-02 23:12:00
2/3/2022,Thu,5:27:00 AM,10.02,305,H,2022-02-03 05:27:00,2022-02-03 05:30:00
2/3/2022,Thu,11:25:00 AM,-0.54,-16,L,2022-02-03 11:25:00,2022-02-03 11:26:00
2/3/2022,Thu,5:40:00 PM,11.07,337,H,2022-02-03 17:40:00,2022-02-03 17:43:00
2/3/2022,Thu,11:59:00 PM,-1.17,-36,L,2022-02-03 23:59:00,2022-02-04 00:00:00
2/4/2022,Fri,6:15:00 AM,10.04,306,H,2022-02-04 06:15:00,2022-02-04 06:18:00
2/4/2022,Fri,12:15:00 PM,-0.4,-12,L,2022-02-04 12:15:00,2022-02-04 12:16:00
2/4/2022,Fri,6:30:00 PM,10.64,324,H,2022-02-04 18:30:00,2022-02-04 18:33:00
2/5/2022,Sat,12:45:00 AM,-0.75,-23,L,2022-02-05 00:45:00,2022-02-05 00:46:00
2/5/2022,Sat,7:02:00 AM,9.92,302,H,2022-02-05 07:02:00,2022-02-05 07:05:00
2/5/2022,Sat,1:05:00 PM,-0.11,-3,L,2022-02-05 13:05:00,2022-02-05 13:06:00
2/5/2022,Sat,7:19:00 PM,10.06,307,H,2022-02-05 19:19:00,2022-02-05 19:22:00
2/6/2022,Sun,1:32:00 AM,-0.19,-6,L,2022-02-06 01:32:00,2022-02-06 01:33:00
2/6/2022,Sun,7:48:00 AM,9.69,295,H,2022-02-06 07:48:00,2022-02-06 07:51:00
2/6/2022,Sun,1:57:00 PM,0.26,8,L,2022-02-06 13:57:00,2022-02-06 13:58:00
2/6/2022,Sun,8:10:00 PM,9.4,287,H,2022-02-06 20:10:00,2022-02-06 20:13:00
2/7/2022,Mon,2:19:00 AM,0.42,13,L,2022-02-07 02:19:00,2022-02-07 02:20:00
2/7/2022,Mon,8:36:00 AM,9.41,287,H,2022-02-07 08:36:00,2022-02-07 08:39:00
2/7/2022,Mon,2:50:00 PM,0.66,20,L,2022-02-07 14:50:00,2022-02-07 14:51:00
2/7/2022,Mon,9:03:00 PM,8.76,267,H,2022-02-07 21:03:00,2022-02-07 21:06:00
2/8/2022,Tue,3:09:00 AM,1.01,31,L,2022-02-08 03:09:00,2022-02-08 03:10:00
2/8/2022,Tue,9:27:00 AM,9.12,278,H,2022-02-08 09:27:00,2022-02-08 09:30:00
2/8/2022,Tue,3:46:00 PM,1.01,31,L,2022-02-08 15:46:00,2022-02-08 15:47:00
2/8/2022,Tue,9:59:00 PM,8.22,251,H,2022-02-08 21:59:00,2022-02-08 22:02:00
2/9/2022,Wed,4:00:00 AM,1.5,46,L,2022-02-09 04:00:00,2022-02-09 04:01:00
2/9/2022,Wed,10:19:00 AM,8.89,271,H,2022-02-09 10:19:00,2022-02-09 10:22:00
2/9/2022,Wed,4:44:00 PM,1.25,38,L,2022-02-09 16:44:00,2022-02-09 16:45:00
2/9/2022,Wed,10:57:00 PM,7.84,239,H,2022-02-09 22:57:00,2022-02-09 23:00:00
2/10/2022,Thu,4:54:00 AM,1.84,56,L,2022-02-10 04:54:00,2022-02-10 04:55:00
2/10/2022,Thu,11:14:00 AM,8.76,267,H,2022-02-10 11:14:00,2022-02-10 11:17:00
2/10/2022,Thu,5:43:00 PM,1.35,41,L,2022-02-10 17:43:00,2022-02-10 17:44:00
2/10/2022,Thu,11:57:00 PM,7.65,233,H,2022-02-10 23:57:00,2022-02-11 00:00:00
2/11/2022,Fri,5:49:00 AM,2.0,61,L,2022-02-11 05:49:00,2022-02-11 05:50:00
2/11/2022,Fri,12:11:00 PM,8.77,267,H,2022-02-11 12:11:00,2022-02-11 12:14:00
2/11/2022,Fri,6:42:00 PM,1.29,39,L,2022-02-11 18:42:00,2022-02-11 18:43:00
2/12/2022,Sat,12:57:00 AM,7.68,234,H,2022-02-12 00:57:00,2022-02-12 01:00:00
2/12/2022,Sat,6:44:00 AM,1.96,60,L,2022-02-12 06:44:00,2022-02-12 06:45:00
2/12/2022,Sat,1:06:00 PM,8.94,272,H,2022-02-12 13:06:00,2022-02-12 13:09:00
2/12/2022,Sat,7:36:00 PM,1.07,33,L,2022-02-12 19:36:00,2022-02-12 19:37:00
2/13/2022,Sun,1:50:00 AM,7.87,240,H,2022-02-13 01:50:00,2022-02-13 01:53:00
2/13/2022,Sun,7:36:00 AM,1.74,53,L,2022-02-13 07:36:00,2022-02-13 07:37:00
2/13/2022,Sun,1:56:00 PM,9.22,281,H,2022-02-13 13:56:00,2022-02-13 13:59:00
2/13/2022,Sun,8:23:00 PM,0.76,23,L,2022-02-13 20:23:00,2022-02-13 20:24:00
2/14/2022,Mon,2:36:00 AM,8.15,248,H,2022-02-14 02:36:00,2022-02-14 02:39:00
2/14/2022,Mon,8:23:00 AM,1.43,44,L,2022-02-14 08:23:00,2022-02-14 08:24:00
2/14/2022,Mon,2:41:00 PM,9.53,290,H,2022-02-14 14:41:00,2022-02-14 14:44:00
2/14/2022,Mon,9:05:00 PM,0.42,13,L,2022-02-14 21:05:00,2022-02-14 21:06:00
2/15/2022,Tue,3:17:00 AM,8.45,258,H,2022-02-15 03:17:00,2022-02-15 03:20:00
2/15/2022,Tue,9:06:00 AM,1.08,33,L,2022-02-15 09:06:00,2022-02-15 09:07:00
2/15/2022,Tue,3:22:00 PM,9.82,299,H,2022-02-15 15:22:00,2022-02-15 15:25:00
2/15/2022,Tue,9:43:00 PM,0.11,3,L,2022-02-15 21:43:00,2022-02-15 21:44:00
2/16/2022,Wed,3:56:00 AM,8.76,267,H,2022-02-16 03:56:00,2022-02-16 03:59:00
2/16/2022,Wed,9:47:00 AM,0.74,23,L,2022-02-16 09:47:00,2022-02-16 09:48:00
2/16/2022,Wed,4:01:00 PM,10.04,306,H,2022-02-16 16:01:00,2022-02-16 16:04:00
2/16/2022,Wed,10:21:00 PM,-0.15,-5,L,2022-02-16 22:21:00,2022-02-16 22:22:00
2/17/2022,Thu,4:33:00 AM,9.06,276,H,2022-02-17 04:33:00,2022-02-17 04:36:00
2/17/2022,Thu,10:28:00 AM,0.44,13,L,2022-02-17 10:28:00,2022-02-17 10:29:00
2/17/2022,Thu,4:40:00 PM,10.19,311,H,2022-02-17 16:40:00,2022-02-17 16:43:00
2/17/2022,Thu,10:58:00 PM,-0.34,-10,L,2022-02-17 22:58:00,2022-02-17 22:59:00
2/18/2022,Fri,5:09:00 AM,9.35,285,H,2022-02-18 05:09:00,2022-02-18 05:12:00
2/18/2022,Fri,11:08:00 AM,0.17,5,L,2022-02-18 11:08:00,2022-02-18 11:09:00
2/18/2022,Fri,5:19:00 PM,10.24,312,H,2022-02-18 17:19:00,2022-02-18 17:22:00
2/18/2022,Fri,11:35:00 PM,-0.43,-13,L,2022-02-18 23:35:00,2022-02-18 23:36:00
2/19/2022,Sat,5:46:00 AM,9.62,293,H,2022-02-19 05:46:00,2022-02-19 05:49:00
2/19/2022,Sat,11:50:00 AM,-0.03,-1,L,2022-02-19 11:50:00,2022-02-19 11:51:00
2/19/2022,Sat,5:59:00 PM,10.18,310,H,2022-02-19 17:59:00,2022-02-19 18:02:00
2/20/2022,Sun,12:14:00 AM,-0.41,-12,L,2022-02-20 00:14:00,2022-02-20 00:15:00
2/20/2022,Sun,6:24:00 AM,9.86,301,H,2022-02-20 06:24:00,2022-02-20 06:27:00
2/20/2022,Sun,12:33:00 PM,-0.15,-5,L,2022-02-20 12:33:00,2022-02-20 12:34:00
2/20/2022,Sun,6:41:00 PM,9.99,304,H,2022-02-20 18:41:00,2022-02-20 18:44:00
2/21/2022,Mon,12:55:00 AM,-0.27,-8,L,2022-02-21 00:55:00,2022-02-21 00:56:00
2/21/2022,Mon,7:04:00 AM,10.02,305,H,2022-02-21 07:04:00,2022-02-21 07:07:00
2/21/2022,Mon,1:19:00 PM,-0.16,-5,L,2022-02-21 13:19:00,2022-02-21 13:20:00
2/21/2022,Mon,7:27:00 PM,9.69,295,H,2022-02-21 19:27:00,2022-02-21 19:30:00
2/22/2022,Tue,1:39:00 AM,-0.01,0,L,2022-02-22 01:39:00,2022-02-22 01:40:00
2/22/2022,Tue,7:48:00 AM,10.09,308,H,2022-02-22 07:48:00,2022-02-22 07:51:00
2/22/2022,Tue,2:10:00 PM,-0.07,-2,L,2022-02-22 14:10:00,2022-02-22 14:11:00
2/22/2022,Tue,8:17:00 PM,9.29,283,H,2022-02-22 20:17:00,2022-02-22 20:20:00
2/23/2022,Wed,2:28:00 AM,0.32,10,L,2022-02-23 02:28:00,2022-02-23 02:29:00
2/23/2022,Wed,8:38:00 AM,10.06,307,H,2022-02-23 08:38:00,2022-02-23 08:41:00
2/23/2022,Wed,3:06:00 PM,0.08,2,L,2022-02-23 15:06:00,2022-02-23 15:07:00
2/23/2022,Wed,9:14:00 PM,8.87,270,H,2022-02-23 21:14:00,2022-02-23 21:17:00
2/24/2022,Thu,3:23:00 AM,0.66,20,L,2022-02-24 03:23:00,2022-02-24 03:24:00
2/24/2022,Thu,9:35:00 AM,9.99,304,H,2022-02-24 09:35:00,2022-02-24 09:38:00
2/24/2022,Thu,4:07:00 PM,0.21,6,L,2022-02-24 16:07:00,2022-02-24 16:08:00
2/24/2022,Thu,10:16:00 PM,8.53,260,H,2022-02-24 22:16:00,2022-02-24 22:19:00
2/25/2022,Fri,4:22:00 AM,0.91,28,L,2022-02-25 04:22:00,2022-02-25 04:23:00
2/25/2022,Fri,10:36:00 AM,9.94,303,H,2022-02-25 10:36:00,2022-02-25 10:39:00
2/25/2022,Fri,5:11:00 PM,0.24,7,L,2022-02-25 17:11:00,2022-02-25 17:12:00
2/25/2022,Fri,11:23:00 PM,8.38,255,H,2022-02-25 23:23:00,2022-02-25 23:26:00
2/26/2022,Sat,5:26:00 AM,1.01,31,L,2022-02-26 05:26:00,2022-02-26 05:27:00
2/26/2022,Sat,11:42:00 AM,9.99,304,H,2022-02-26 11:42:00,2022-02-26 11:45:00
2/26/2022,Sat,6:18:00 PM,0.12,4,L,2022-02-26 18:18:00,2022-02-26 18:19:00
2/27/2022,Sun,12:33:00 AM,8.49,259,H,2022-02-27 00:33:00,2022-02-27 00:36:00
2/27/2022,Sun,6:32:00 AM,0.88,27,L,2022-02-27 06:32:00,2022-02-27 06:33:00
2/27/2022,Sun,12:50:00 PM,10.19,311,H,2022-02-27 12:50:00,2022-02-27 12:53:00
2/27/2022,Sun,7:23:00 PM,-0.18,-5,L,2022-02-27 19:23:00,2022-02-27 19:24:00
2/28/2022,Mon,1:40:00 AM,8.85,270,H,2022-02-28 01:40:00,2022-02-28 01:43:00
2/28/2022,Mon,7:36:00 AM,0.53,16,L,2022-02-28 07:36:00,2022-02-28 07:37:00
2/28/2022,Mon,1:54:00 PM,10.51,320,H,2022-02-28 13:54:00,2022-02-28 13:57:00
2/28/2022,Mon,8:22:00 PM,-0.56,-17,L,2022-02-28 20:22:00,2022-02-28 20:23:00
3/1/2022,Tue,2:38:00 AM,9.31,284,H,2022-03-01 02:38:00,2022-03-01 02:41:00
3/1/2022,Tue,8:35:00 AM,0.09,3,L,2022-03-01 08:35:00,2022-03-01 08:36:00
3/1/2022,Tue,2:52:00 PM,10.79,329,H,2022-03-01 14:52:00,2022-03-01 14:55:00
3/1/2022,Tue,9:15:00 PM,-0.86,-26,L,2022-03-01 21:15:00,2022-03-01 21:16:00
3/2/2022,Wed,3:30:00 AM,9.74,297,H,2022-03-02 03:30:00,2022-03-02 03:33:00
3/2/2022,Wed,9:28:00 AM,-0.3,-9,L,2022-03-02 09:28:00,2022-03-02 09:29:00
3/2/2022,Wed,3:45:00 PM,10.94,333,H,2022-03-02 15:45:00,2022-03-02 15:48:00
3/2/2022,Wed,10:04:00 PM,-1.01,-31,L,2022-03-02 22:04:00,2022-03-02 22:05:00
3/3/2022,Thu,4:19:00 AM,10.06,307,H,2022-03-03 04:19:00,2022-03-03 04:22:00
3/3/2022,Thu,10:19:00 AM,-0.56,-17,L,2022-03-03 10:19:00,2022-03-03 10:20:00
3/3/2022,Thu,4:35:00 PM,10.9,332,H,2022-03-03 16:35:00,2022-03-03 16:38:00
3/3/2022,Thu,10:50:00 PM,-0.95,-29,L,2022-03-03 22:50:00,2022-03-03 22:51:00
3/4/2022,Fri,5:04:00 AM,10.23,312,H,2022-03-04 05:04:00,2022-03-04 05:07:00
3/4/2022,Fri,11:07:00 AM,-0.63,-19,L,2022-03-04 11:07:00,2022-03-04 11:08:00
3/4/2022,Fri,5:22:00 PM,10.68,326,H,2022-03-04 17:22:00,2022-03-04 17:25:00
3/4/2022,Fri,11:33:00 PM,-0.7,-21,L,2022-03-04 23:33:00,2022-03-04 23:34:00
3/5/2022,Sat,5:47:00 AM,10.24,312,H,2022-03-05 05:47:00,2022-03-05 05:50:00
3/5/2022,Sat,11:54:00 AM,-0.53,-16,L,2022-03-05 11:54:00,2022-03-05 11:55:00
3/5/2022,Sat,6:08:00 PM,10.29,314,H,2022-03-05 18:08:00,2022-03-05 18:11:00
3/6/2022,Sun,12:15:00 AM,-0.29,-9,L,2022-03-06 00:15:00,2022-03-06 00:16:00
3/6/2022,Sun,6:29:00 AM,10.11,308,H,2022-03-06 06:29:00,2022-03-06 06:32:00
3/6/2022,Sun,12:39:00 PM,-0.27,-8,L,2022-03-06 12:39:00,2022-03-06 12:40:00
3/6/2022,Sun,6:52:00 PM,9.78,298,H,2022-03-06 18:52:00,2022-03-06 18:55:00
3/7/2022,Mon,12:58:00 AM,0.23,7,L,2022-03-07 00:58:00,2022-03-07 00:59:00
3/7/2022,Mon,7:10:00 AM,9.85,300,H,2022-03-07 07:10:00,2022-03-07 07:13:00
3/7/2022,Mon,1:25:00 PM,0.12,4,L,2022-03-07 13:25:00,2022-03-07 13:26:00
3/7/2022,Mon,7:38:00 PM,9.21,281,H,2022-03-07 19:38:00,2022-03-07 19:41:00
