Tide_Height,Salinity_Time,Salinity
1.27,2022-05-14 18:00:00,29.4
0.15,2022-05-14 20:00:00,29.7
0.1,2022-05-14 20:15:00,29.7
0.07,2022-05-14 20:30:00,29.7
0.08,2022-05-14 20:45:00,29.7
0.72,2022-05-14 22:15:00,29.7
0.9,2022-05-14 22:30:00,29.7
1.64,2022-05-14 23:30:00,29.7
1.84,2022-05-14 23:45:00,29.8
2.22,2022-05-15 00:15:00,29.8
2.41,2022-05-15 00:30:00,29.8
2.76,2022-05-15 01:00:00,29.8
3.04,2022-05-15 01:30:00,29.8
3.25,2022-05-15 02:00:00,29.7
3.31,2022-05-15 02:15:00,29.6
3.35,2022-05-15 02:30:00,29.6
3.33,2022-05-15 03:00:00,29.7
3.29,2022-05-15 03:15:00,29.7
3.22,2022-05-15 03:30:00,29.7
3.12,2022-05-15 03:45:00,29.7
2.55,2022-05-15 04:45:00,29.7
2.38,2022-05-15 05:00:00,29.7
1.99,2022-05-15 05:30:00,29.7
1.79,2022-05-15 05:45:00,29.8
1.58,2022-05-15 06:00:00,29.8
1.17,2022-05-15 06:30:00,30.1
0.97,2022-05-15 06:45:00,30.2
0.77,2022-05-15 07:00:00,30.2
0.58,2022-05-15 07:15:00,30.2
-0.02,2022-05-15 08:15:00,30.2
-0.11,2022-05-15 08:30:00,30.2
-0.17,2022-05-15 08:45:00,30.1
-0.2,2022-05-15 09:00:00,30.0
-0.16,2022-05-15 09:30:00,30.0
-0.09,2022-05-15 09:45:00,30.0
0.43,2022-05-15 10:45:00,29.9
0.78,2022-05-15 11:15:00,29.8
0.96,2022-05-15 11:30:00,29.7
1.15,2022-05-15 11:45:00,29.7
1.35,2022-05-15 12:00:00,29.6
1.74,2022-05-15 12:30:00,29.5
1.93,2022-05-15 12:45:00,29.5
2.64,2022-05-15 13:45:00,30.0
2.77,2022-05-15 14:00:00,30.0
2.89,2022-05-15 14:15:00,30.1
3.09,2022-05-15 15:00:00,29.7
3.1,2022-05-15 15:15:00,29.9
2.67,2022-05-15 16:45:00,29.9
2.53,2022-05-15 17:00:00,29.9
2.21,2022-05-15 17:30:00,29.9
1.85,2022-05-15 18:00:00,29.9
1.67,2022-05-15 18:15:00,29.9
1.48,2022-05-15 18:30:00,29.7
1.29,2022-05-15 18:45:00,29.6
0.74,2022-05-15 19:30:00,29.3
0.09,2022-05-15 20:45:00,29.6
0.03,2022-05-15 21:00:00,29.6
0.05,2022-05-15 21:45:00,29.6
0.52,2022-05-15 22:45:00,29.9
0.87,2022-05-15 23:15:00,30.0
1.47,2022-05-16 00:00:00,30.0
1.68,2022-05-16 00:15:00,30.1
1.89,2022-05-16 00:30:00,30.2
2.1,2022-05-16 00:45:00,30.2
2.3,2022-05-16 01:00:00,30.1
2.69,2022-05-16 01:30:00,30.0
3.39,2022-05-16 02:45:00,30.0
3.46,2022-05-16 03:00:00,30.0
3.49,2022-05-16 03:15:00,30.0
3.5,2022-05-16 03:30:00,30.0
3.48,2022-05-16 03:45:00,30.0
3.43,2022-05-16 04:00:00,30.0
3.36,2022-05-16 04:15:00,30.0
3.26,2022-05-16 04:30:00,30.1
3.14,2022-05-16 04:45:00,30.0
2.83,2022-05-16 05:15:00,30.0
2.66,2022-05-16 05:30:00,30.0
2.26,2022-05-16 06:00:00,30.0
2.05,2022-05-16 06:15:00,30.0
1.83,2022-05-16 06:30:00,30.0
1.61,2022-05-16 06:45:00,30.0
0.34,2022-05-16 08:15:00,30.3
0.16,2022-05-16 08:30:00,30.2
-0.13,2022-05-16 09:00:00,30.1
-0.23,2022-05-16 09:15:00,30.0
-0.3,2022-05-16 09:30:00,30.0
-0.34,2022-05-16 09:45:00,30.1
-0.31,2022-05-16 10:15:00,30.0
-0.24,2022-05-16 10:30:00,29.9
-0.15,2022-05-16 10:45:00,29.5
-0.03,2022-05-16 11:00:00,29.5
0.12,2022-05-16 11:15:00,29.6
1.04,2022-05-16 12:30:00,29.8
1.46,2022-05-16 13:00:00,29.8
2.07,2022-05-16 13:45:00,29.4
2.27,2022-05-16 14:00:00,29.5
2.95,2022-05-16 17:00:00,30.0
2.73,2022-05-16 17:30:00,30.0
2.43,2022-05-16 18:00:00,30.0
2.09,2022-05-16 18:30:00,30.0
1.9,2022-05-16 18:45:00,30.0
1.71,2022-05-16 19:00:00,29.9
1.51,2022-05-16 19:15:00,30.0
1.32,2022-05-16 19:30:00,29.9
1.12,2022-05-16 19:45:00,30.0
0.75,2022-05-16 20:15:00,30.1
0.19,2022-05-16 23:00:00,29.4
0.48,2022-05-16 23:30:00,29.8
0.85,2022-05-17 00:00:00,29.7
1.05,2022-05-17 00:15:00,29.8
1.69,2022-05-17 01:00:00,29.8
1.91,2022-05-17 01:15:00,29.8
2.54,2022-05-17 02:00:00,29.8
3.24,2022-05-17 03:00:00,30.0
3.37,2022-05-17 03:15:00,30.0
3.54,2022-05-17 03:45:00,30.1
3.58,2022-05-17 04:00:00,30.1
3.59,2022-05-17 04:15:00,30.1
3.57,2022-05-17 04:30:00,30.2
3.53,2022-05-17 04:45:00,30.1
2.13,2022-05-17 07:00:00,30.0
1.21,2022-05-17 08:00:00,30.2
0.98,2022-05-17 08:15:00,30.2
0.54,2022-05-17 08:45:00,30.3
-0.28,2022-05-17 10:00:00,30.3
-0.36,2022-05-17 10:15:00,30.3
-0.41,2022-05-17 10:30:00,30.3
-0.42,2022-05-17 10:45:00,30.3
-0.4,2022-05-17 11:00:00,30.2
-0.25,2022-05-17 11:30:00,30.3
-0.14,2022-05-17 11:45:00,30.3
0.35,2022-05-17 12:30:00,30.2
1.36,2022-05-17 13:45:00,28.9
2.84,2022-05-17 15:45:00,29.3
3.06,2022-05-17 17:30:00,29.5
2.49,2022-05-17 18:45:00,30.4
2.32,2022-05-17 19:00:00,30.4
1.96,2022-05-17 19:30:00,30.5
1.18,2022-05-17 20:30:00,30.4
0.99,2022-05-17 20:45:00,30.4
0.8,2022-05-17 21:00:00,30.5
0.63,2022-05-17 21:15:00,30.6
0.02,2022-05-17 22:30:00,31.0
0.44,2022-05-18 00:15:00,31.0
1.22,2022-05-18 01:15:00,31.0
1.66,2022-05-18 01:45:00,30.7
2.51,2022-05-18 02:45:00,30.7
3.61,2022-05-18 05:00:00,30.0
3.51,2022-05-18 05:45:00,30.2
3.42,2022-05-18 06:00:00,30.1
3.3,2022-05-18 06:15:00,30.1
1.52,2022-05-18 08:30:00,30.2
1.06,2022-05-18 09:00:00,30.2
0.83,2022-05-18 09:15:00,30.2
0.41,2022-05-18 09:45:00,30.4
-0.33,2022-05-18 11:00:00,30.8
-0.38,2022-05-18 12:00:00,30.9
-0.19,2022-05-18 12:30:00,30.7
-0.06,2022-05-18 12:45:00,31.0
2.44,2022-05-18 16:00:00,30.7
3.08,2022-05-18 17:30:00,30.1
2.68,2022-05-18 19:15:00,29.9
1.28,2022-05-18 21:15:00,29.9
0.73,2022-05-18 22:00:00,29.7
1.16,2022-05-19 02:00:00,29.6
2.2,2022-05-19 03:15:00,30.0
2.4,2022-05-19 03:30:00,29.8
3.56,2022-05-19 05:45:00,29.9
3.55,2022-05-19 06:15:00,29.9
3.2,2022-05-19 07:15:00,30.0
2.52,2022-05-19 08:15:00,30.1
1.65,2022-05-19 09:15:00,30.0
-0.12,2022-05-19 11:30:00,29.9
-0.35,2022-05-19 12:15:00,29.9
-0.08,2022-05-19 13:30:00,29.8
1.13,2022-05-19 15:15:00,29.8
1.33,2022-05-19 15:30:00,29.8
2.28,2022-05-19 16:45:00,29.9
2.14,2022-05-19 21:00:00,30.1
1.97,2022-05-19 21:15:00,30.1
1.24,2022-05-19 22:15:00,30.3
0.89,2022-05-19 22:45:00,30.4
0.7,2022-05-20 02:15:00,30.6
3.21,2022-05-20 05:45:00,30.6
3.44,2022-05-20 06:30:00,30.3
3.47,2022-05-20 06:45:00,30.4
2.78,2022-05-20 08:45:00,31.0
2.42,2022-05-20 09:15:00,31.0
1.82,2022-05-20 10:00:00,31.0
-0.22,2022-05-20 13:00:00,31.1
-0.07,2022-05-20 14:15:00,31.1
1.55,2022-05-20 16:45:00,31.0
1.73,2022-05-20 17:00:00,31.0
2.57,2022-05-20 18:15:00,30.7
2.65,2022-05-20 21:00:00,30.1
1.95,2022-05-20 22:15:00,30.7
1.78,2022-05-20 22:30:00,30.0
3.19,2022-05-21 07:00:00,30.2
2.36,2022-05-21 10:15:00,30.3
2.18,2022-05-21 10:30:00,30.3
1.4,2022-05-21 11:30:00,30.1
1.0,2022-05-21 12:00:00,30.1
-0.04,2022-05-21 13:45:00,30.1
0.55,2022-05-21 16:15:00,29.8
0.86,2022-05-21 16:45:00,29.7
1.02,2022-05-21 17:00:00,29.8
1.19,2022-05-21 17:15:00,30.0
1.37,2022-05-21 17:30:00,29.7
2.24,2022-05-21 18:45:00,29.6
2.81,2022-05-21 20:00:00,29.7
1.49,2022-05-22 00:00:00,29.9
0.71,2022-05-22 01:15:00,29.9
0.59,2022-05-22 01:30:00,29.9
0.66,2022-05-22 04:00:00,30.1
2.39,2022-05-22 06:45:00,29.9
3.18,2022-05-22 08:45:00,30.0
2.63,2022-05-22 10:45:00,30.1
2.0,2022-05-22 11:45:00,30.0
0.25,2022-05-22 16:30:00,29.4
0.88,2022-05-22 17:45:00,29.0
2.06,2022-05-22 19:30:00,29.3
0.37,2022-05-23 03:30:00,30.2
3.0,2022-05-23 09:30:00,30.3
0.14,2022-05-23 16:00:00,31.3
2.25,2022-05-24 01:00:00,29.5
2.58,2022-05-24 12:45:00,31.4
0.26,2022-05-24 16:45:00,31.1
2.56,2022-05-25 01:30:00,30.1
1.03,2022-05-25 08:15:00,30.6
1.5,2022-05-25 09:00:00,30.7
2.01,2022-05-26 03:30:00,30.2
1.3,2022-05-26 04:30:00,30.2
0.82,2022-05-26 09:00:00,30.2
1.11,2022-05-26 09:30:00,30.2
1.53,2022-05-26 16:30:00,30.0
1.14,2022-05-29 23:45:00,29.7
1.34,2022-06-01 08:45:00,29.9
1.31,2022-06-01 21:15:00,30.2
0.61,2022-06-01 22:45:00,30.3
1.41,2022-06-02 15:15:00,29.4
2.35,2022-06-03 04:15:00,29.7
3.23,2022-06-12 00:45:00,28.9
3.27,2022-06-12 01:00:00,28.9
3.28,2022-06-13 01:15:00,29.4
3.45,2022-06-13 02:00:00,29.4
3.38,2022-06-13 02:45:00,29.3
-0.18,2022-06-13 08:15:00,29.4
-0.05,2022-06-13 09:30:00,29.4
3.52,2022-06-14 02:30:00,29.4
3.62,2022-06-15 03:30:00,30.1
3.65,2022-06-15 03:45:00,30.2
3.6,2022-06-16 04:15:00,31.4
3.64,2022-06-16 04:30:00,31.5
3.66,2022-06-16 04:45:00,31.5
-0.43,2022-06-16 11:15:00,31.5
3.4,2022-06-17 04:45:00,31.0
-0.39,2022-06-17 12:15:00,31.4
3.41,2022-06-18 06:00:00,31.4
-0.26,2022-06-18 12:45:00,31.6
-0.29,2022-06-18 13:00:00,31.7
-0.1,2022-06-18 14:00:00,31.7
-0.21,2022-08-13 10:00:00,30.8
3.32,2022-08-15 05:30:00,31.2
3.34,2022-09-11 04:45:00,31.6
-0.27,2022-11-24 21:45:00,31.5
-0.37,2022-11-27 00:00:00,31.0
