"Plot Title: Carolina September 2021 2"
"#","Date Time, GMT-04:00","High Range, μS/cm (LGR S/N: 20182875, SEN S/N: 20182875)","Temp, °F (LGR S/N: 20182875, SEN S/N: 20182875)","Bad Battery (LGR S/N: 20182875)","Coupler Detached (LGR S/N: 20182875)","Good Battery (LGR S/N: 20182875)","Coupler Attached (LGR S/N: 20182875)","Host Connected (LGR S/N: 20182875)","Stopped (LGR S/N: 20182875)","End Of File (LGR S/N: 20182875)"
45,09/29/21 07:03:42 AM,33068.0,68.49,,,,,,,
46,09/29/21 07:33:42 AM,32814.1,68.23,,,,,,,
47,09/29/21 08:03:42 AM,32632.2,68.07,,,,,,,
48,09/29/21 08:33:42 AM,32280.5,67.68,,,,,,,
49,09/29/21 09:03:42 AM,32113.3,67.60,,,,,,,
50,09/29/21 09:33:42 AM,31973.5,67.59,,,,,,,
51,09/29/21 10:03:42 AM,31700.4,67.55,,,,,,,
52,09/29/21 10:33:42 AM,32113.3,68.31,,,,,,,
53,09/29/21 11:03:42 AM,32564.2,69.08,,,,,,,
54,09/29/21 11:33:42 AM,32778.1,69.40,,,,,,,
55,09/29/21 12:03:42 PM,33544.2,70.27,,,,,,,
56,09/29/21 12:33:42 PM,33534.8,69.85,,,,,,,
57,09/29/21 01:03:42 PM,33541.1,69.98,,,,,,,
58,09/29/21 01:33:42 PM,33559.9,70.21,,,,,,,
59,09/29/21 02:03:42 PM,33673.4,70.27,,,,,,,
60,09/29/21 02:33:42 PM,33484.7,70.38,,,,,,,
61,09/29/21 03:03:42 PM,33569.3,70.48,,,,,,,
62,09/29/21 03:33:42 PM,33326.0,70.52,,,,,,,
63,09/29/21 04:03:42 PM,33326.0,70.61,,,,,,,
64,09/29/21 04:33:42 PM,33541.1,70.97,,,,,,,
65,09/29/21 05:03:42 PM,33381.8,70.72,,,,,,,
66,09/29/21 05:33:42 PM,33068.0,70.32,,,,,,,
67,09/29/21 06:03:42 PM,32910.3,70.12,,,,,,,
68,09/29/21 06:33:42 PM,32388.1,69.78,,,,,,,
69,09/29/21 07:03:42 PM,33001.1,70.29,,,,,,,
70,09/29/21 07:33:42 PM,33528.5,70.48,,,,,,,
71,09/29/21 08:03:42 PM,33686.0,70.59,,,,,,,
72,09/29/21 08:33:42 PM,34128.6,70.79,,,,,,,
73,09/29/21 09:03:42 PM,34190.5,71.20,,,,,,,
74,09/29/21 09:33:42 PM,34364.3,71.37,,,,,,,
75,09/29/21 10:03:42 PM,34364.3,71.55,,,,,,,
76,09/29/21 10:33:42 PM,34586.6,71.38,,,,,,,
77,09/29/21 11:03:42 PM,34496.7,71.38,,,,,,,
78,09/29/21 11:33:42 PM,34440.3,71.49,,,,,,,
79,09/30/21 12:03:42 AM,34305.1,71.42,,,,,,,
80,09/30/21 12:33:42 AM,34529.9,71.49,,,,,,,
81,09/30/21 01:03:42 AM,34673.6,71.51,,,,,,,
82,09/30/21 01:33:42 AM,34135.1,71.17,,,,,,,
83,09/30/21 02:03:42 AM,34344.5,71.22,,,,,,,
84,09/30/21 02:33:42 AM,33893.0,70.79,,,,,,,
85,09/30/21 03:03:42 AM,33800.3,70.56,,,,,,,
86,09/30/21 03:33:42 AM,34034.6,70.70,,,,,,,
87,09/30/21 04:03:42 AM,33861.0,70.30,,,,,,,
88,09/30/21 04:33:42 AM,32995.0,69.31,,,,,,,
89,09/30/21 05:03:42 AM,32661.9,68.31,,,,,,,
90,09/30/21 05:33:42 AM,32525.9,67.89,,,,,,,
91,09/30/21 06:03:42 AM,32916.4,68.65,,,,,,,
92,09/30/21 06:33:42 AM,33071.0,68.56,,,,,,,
93,09/30/21 07:03:42 AM,32277.6,67.19,,,,,,,
94,09/30/21 07:33:42 AM,32202.5,67.08,,,,,,,
95,09/30/21 08:03:42 AM,31672.6,66.34,,,,,,,
96,09/30/21 08:33:42 AM,31578.2,66.33,,,,,,,
97,09/30/21 09:03:42 AM,31517.4,66.27,,,,,,,
98,09/30/21 09:33:42 AM,31298.6,66.25,,,,,,,
99,09/30/21 10:03:42 AM,31136.6,66.40,,,,,,,
100,09/30/21 10:33:42 AM,31388.5,66.63,,,,,,,
101,09/30/21 11:03:42 AM,31230.9,66.47,,,,,,,
102,09/30/21 11:33:42 AM,31344.8,66.81,,,,,,,
103,09/30/21 12:03:42 PM,31353.0,67.28,,,,,,,
104,09/30/21 12:33:42 PM,31306.7,67.39,,,,,,,
105,09/30/21 01:03:42 PM,31366.6,67.48,,,,,,,
106,09/30/21 01:33:42 PM,31448.7,67.66,,,,,,,
107,09/30/21 02:03:42 PM,31871.6,68.40,,,,,,,
108,09/30/21 02:33:42 PM,32335.7,69.22,,,,,,,
109,09/30/21 03:03:42 PM,32173.6,68.88,,,,,,,
110,09/30/21 03:33:42 PM,32156.4,68.85,,,,,,,
111,09/30/21 04:03:42 PM,32096.1,68.68,,,,,,,
112,09/30/21 04:33:42 PM,31914.0,68.38,,,,,,,
113,09/30/21 05:03:42 PM,31619.8,67.89,,,,,,,
114,09/30/21 05:33:42 PM,31636.4,67.89,,,,,,,
115,09/30/21 06:03:42 PM,31899.8,67.91,,,,,,,
116,09/30/21 06:33:42 PM,31731.2,67.80,,,,,,,
117,09/30/21 07:03:42 PM,31849.0,67.14,,,,,,,
118,09/30/21 07:33:42 PM,31706.0,67.06,,,,,,,
119,09/30/21 08:03:42 PM,31366.6,66.72,,,,,,,
120,09/30/21 08:33:42 PM,31336.7,66.63,,,,,,,
121,09/30/21 09:03:42 PM,31179.6,66.45,,,,,,,
122,09/30/21 09:33:42 PM,30480.2,65.84,,,,,,,
123,09/30/21 10:03:42 PM,30713.0,65.80,,,,,,,
124,09/30/21 10:33:42 PM,30185.5,65.52,,,,,,,
125,09/30/21 11:03:42 PM,30377.9,65.64,,,,,,,
126,09/30/21 11:33:42 PM,30526.4,65.80,,,,,,,
127,10/01/21 12:03:42 AM,30311.8,65.55,,,,,,,
128,10/01/21 12:33:42 AM,30020.6,65.08,,,,,,,
129,10/01/21 01:03:42 AM,30075.4,65.16,,,,,,,
130,10/01/21 01:33:42 AM,30003.2,65.01,,,,,,,
131,10/01/21 02:03:42 AM,29852.7,64.71,,,,,,,
132,10/01/21 02:33:42 AM,29838.0,64.72,,,,,,,
133,10/01/21 03:03:42 AM,29752.4,64.63,,,,,,,
134,10/01/21 03:33:42 AM,29556.4,64.24,,,,,,,
135,10/01/21 04:03:42 AM,32697.6,68.43,,,,,,,
136,10/01/21 04:33:42 AM,32593.7,68.04,,,,,,,
137,10/01/21 05:03:42 AM,32059.0,67.55,,,,,,,
138,10/01/21 05:33:42 AM,31815.3,67.28,,,,,,,
139,10/01/21 06:03:42 AM,29330.1,62.78,,,,,,,
140,10/01/21 06:33:42 AM,29911.7,63.82,,,,,,,
141,10/01/21 07:03:42 AM,29546.8,63.73,,,,,,,
142,10/01/21 07:33:42 AM,29486.9,63.75,,,,,,,
143,10/01/21 08:03:42 AM,29021.7,63.12,,,,,,,
144,10/01/21 08:33:42 AM,31236.3,65.53,,,,,,,
145,10/01/21 09:03:42 AM,30503.3,64.87,,,,,,,
146,10/01/21 09:33:42 AM,31467.9,65.95,,,,,,,
147,10/01/21 10:03:42 AM,32656.0,68.14,,,,,,,
148,10/01/21 10:33:42 AM,33055.8,68.38,,,,,,,
149,10/01/21 11:03:42 AM,32694.6,68.94,,,,,,,
150,10/01/21 11:33:42 AM,32070.4,67.82,,,,,,,
151,10/01/21 12:03:42 PM,32823.1,68.38,,,,,,,
152,10/01/21 12:33:42 PM,32802.1,68.49,,,,,,,
153,10/01/21 01:03:42 PM,33335.3,69.17,,,,,,,
154,10/01/21 01:33:42 PM,33101.6,69.10,,,,,,,
155,10/01/21 02:03:42 PM,33938.0,69.87,,,,,,,
156,10/01/21 02:33:42 PM,34190.5,70.70,,,,,,,
157,10/01/21 03:03:42 PM,34015.3,70.75,,,,,,,
158,10/01/21 03:33:42 PM,34008.8,70.88,,,,,,,
159,10/01/21 04:03:42 PM,34037.9,70.70,,,,,,,
160,10/01/21 04:33:42 PM,34171.0,70.70,,,,,,,
161,10/01/21 05:03:42 PM,33619.7,70.66,,,,,,,
162,10/01/21 05:33:42 PM,33316.7,69.58,,,,,,,
163,10/01/21 06:03:42 PM,33332.2,69.94,,,,,,,
164,10/01/21 06:33:42 PM,33755.8,70.34,,,,,,,
165,10/01/21 07:03:42 PM,32883.2,69.40,,,,,,,
166,10/01/21 07:33:42 PM,33610.2,69.85,,,,,,,
167,10/01/21 08:03:42 PM,33931.5,70.12,,,,,,,
168,10/01/21 08:33:42 PM,33724.0,69.93,,,,,,,
169,10/01/21 09:03:42 PM,33873.8,70.05,,,,,,,
170,10/01/21 09:33:42 PM,33905.9,70.12,,,,,,,
171,10/01/21 10:03:42 PM,33845.0,70.02,,,,,,,
172,10/01/21 10:33:42 PM,33893.0,70.02,,,,,,,
173,10/01/21 11:03:42 PM,33979.8,70.05,,,,,,,
174,10/01/21 11:33:42 PM,34002.4,70.00,,,,,,,
175,10/02/21 12:03:42 AM,33724.0,69.75,,,,,,,
176,10/02/21 12:33:42 AM,33877.0,69.94,,,,,,,
177,10/02/21 01:03:42 AM,33613.4,69.62,,,,,,,
178,10/02/21 01:33:42 AM,33613.4,69.64,,,,,,,
179,10/02/21 02:03:42 AM,33701.8,69.73,,,,,,,
180,10/02/21 02:33:42 AM,33481.6,69.49,,,,,,,
181,10/02/21 03:03:42 AM,33727.2,69.62,,,,,,,
182,10/02/21 03:33:42 AM,34018.5,69.73,,,,,,,
183,10/02/21 04:03:42 AM,34141.7,69.84,,,,,,,
184,10/02/21 04:33:42 AM,34047.6,69.66,,,,,,,
185,10/02/21 05:03:42 AM,34167.7,69.71,,,,,,,
186,10/02/21 05:33:42 AM,34311.7,69.71,,,,,,,
187,10/02/21 06:03:42 AM,34430.4,69.64,,,,,,,
188,10/02/21 06:33:42 AM,34080.0,68.92,,,,,,,
189,10/02/21 07:03:42 AM,34282.1,69.24,,,,,,,
190,10/02/21 07:33:42 AM,33648.1,68.31,,,,,,,
191,10/02/21 08:03:42 AM,33663.9,68.34,,,,,,,
192,10/02/21 08:33:42 AM,34102.7,68.70,,,,,,,
193,10/02/21 09:03:42 AM,33835.4,68.34,,,,,,,
194,10/02/21 09:33:42 AM,32856.1,67.32,,,,,,,
195,10/02/21 10:03:42 AM,34044.3,68.58,,,,,,,
196,10/02/21 10:33:42 AM,34164.4,68.85,,,,,,,
197,10/02/21 11:03:42 AM,34282.1,68.67,,,,,,,
198,10/02/21 11:33:42 AM,33803.5,68.54,,,,,,,
199,10/02/21 12:03:42 PM,33925.1,68.88,,,,,,,
200,10/02/21 12:33:42 PM,33918.7,68.85,,,,,,,
201,10/02/21 01:03:42 PM,34021.7,69.06,,,,,,,
202,10/02/21 01:33:42 PM,34374.2,69.51,,,,,,,
203,10/02/21 02:03:42 PM,34757.7,69.87,,,,,,,
204,10/02/21 02:33:42 PM,34593.3,69.73,,,,,,,
205,10/02/21 03:03:42 PM,34683.7,69.84,,,,,,,
206,10/02/21 03:33:42 PM,34767.8,69.93,,,,,,,
207,10/02/21 04:03:42 PM,34764.5,70.16,,,,,,,
208,10/02/21 04:33:42 PM,34663.6,70.03,,,,,,,
209,10/02/21 05:03:42 PM,34872.8,69.87,,,,,,,
210,10/02/21 05:33:42 PM,34798.2,69.93,,,,,,,
211,10/02/21 06:03:42 PM,34798.2,69.89,,,,,,,
212,10/02/21 06:33:42 PM,34927.2,69.73,,,,,,,
213,10/02/21 07:03:42 PM,34852.4,69.67,,,,,,,
214,10/02/21 07:33:42 PM,34974.9,69.66,,,,,,,
215,10/02/21 08:03:42 PM,35050.2,69.58,,,,,,,
216,10/02/21 08:33:42 PM,34981.7,69.48,,,,,,,
217,10/02/21 09:03:42 PM,34677.0,69.12,,,,,,,
218,10/02/21 09:33:42 PM,34778.0,69.19,,,,,,,
219,10/02/21 10:03:42 PM,34859.2,69.17,,,,,,,
220,10/02/21 10:33:42 PM,34670.3,68.99,,,,,,,
221,10/02/21 11:03:42 PM,34717.3,69.04,,,,,,,
222,10/02/21 11:33:42 PM,34586.6,68.83,,,,,,,
223,10/03/21 12:03:42 AM,34044.3,68.36,,,,,,,
224,10/03/21 12:33:42 AM,33797.2,68.14,,,,,,,
225,10/03/21 01:03:42 AM,34187.3,68.45,,,,,,,
226,10/03/21 01:33:42 AM,34060.5,68.49,,,,,,,
227,10/03/21 02:03:42 AM,34034.6,68.61,,,,,,,
228,10/03/21 02:33:42 AM,33781.2,68.36,,,,,,,
229,10/03/21 03:03:42 AM,33794.0,68.31,,,,,,,
230,10/03/21 03:33:42 AM,33752.6,68.23,,,,,,,
231,10/03/21 04:03:42 AM,34031.4,68.56,,,,,,,
232,10/03/21 04:33:42 AM,34216.6,68.68,,,,,,,
233,10/03/21 05:03:42 AM,34070.2,68.61,,,,,,,
234,10/03/21 05:33:42 AM,34413.8,68.81,,,,,,,
235,10/03/21 06:03:42 AM,34589.9,68.95,,,,,,,
236,10/03/21 06:33:42 AM,34670.3,69.04,,,,,,,
237,10/03/21 07:03:42 AM,34838.8,69.15,,,,,,,
238,10/03/21 07:33:42 AM,34586.6,68.92,,,,,,,
239,10/03/21 08:03:42 AM,34453.5,68.77,,,,,,,
240,10/03/21 08:33:42 AM,34556.6,68.83,,,,,,,
241,10/03/21 09:03:42 AM,34324.8,68.85,,,,,,,
242,10/03/21 09:33:42 AM,34190.5,68.72,,,,,,,
243,10/03/21 10:03:42 AM,34559.9,68.99,,,,,,,
244,10/03/21 10:33:42 AM,34446.9,68.94,,,,,,,
245,10/03/21 11:03:42 AM,34636.7,69.10,,,,,,,
246,10/03/21 11:33:42 AM,34767.8,69.17,,,,,,,
247,10/03/21 12:03:42 PM,34456.8,69.08,,,,,,,
248,10/03/21 12:33:42 PM,34697.1,69.58,,,,,,,
249,10/03/21 01:03:42 PM,34707.2,69.93,,,,,,,
250,10/03/21 01:33:42 PM,34420.4,70.30,,,,,,,
251,10/03/21 02:03:42 PM,34636.7,70.32,,,,,,,
252,10/03/21 02:33:42 PM,34703.8,70.38,,,,,,,
253,10/03/21 03:03:42 PM,34771.2,70.39,,,,,,,
254,10/03/21 03:33:42 PM,34630.0,70.48,,,,,,,
255,10/03/21 04:03:42 PM,34272.3,70.79,,,,,,,
256,10/03/21 04:33:42 PM,34367.6,70.74,,,,,,,
257,10/03/21 05:03:42 PM,34483.4,70.48,,,,,,,
258,10/03/21 05:33:42 PM,34466.8,70.39,,,,,,,
259,10/03/21 06:03:42 PM,34413.8,70.29,,,,,,,
260,10/03/21 06:33:42 PM,34374.2,70.18,,,,,,,
261,10/03/21 07:03:42 PM,34493.3,70.07,,,,,,,
262,10/03/21 07:33:42 PM,33705.0,69.85,,,,,,,
263,10/03/21 08:03:42 PM,33989.5,70.02,,,,,,,
264,10/03/21 08:33:42 PM,33995.9,70.02,,,,,,,
265,10/03/21 09:03:42 PM,34054.1,70.05,,,,,,,
266,10/03/21 09:33:42 PM,34118.9,70.02,,,,,,,
267,10/03/21 10:03:42 PM,34318.2,70.00,,,,,,,
268,10/03/21 10:33:42 PM,34390.7,69.78,,,,,,,
269,10/03/21 11:03:42 PM,33841.8,69.75,,,,,,,
270,10/03/21 11:33:42 PM,33829.1,69.71,,,,,,,
271,10/04/21 12:03:42 AM,33960.5,69.66,,,,,,,
272,10/04/21 12:33:42 AM,33214.9,69.15,,,,,,,
273,10/04/21 01:03:42 AM,33199.6,69.12,,,,,,,
274,10/04/21 01:33:42 AM,33276.5,69.15,,,,,,,
275,10/04/21 02:03:42 AM,33450.3,69.33,,,,,,,
276,10/04/21 02:33:42 AM,33329.1,69.17,,,,,,,
277,10/04/21 03:03:42 AM,33425.4,69.21,,,,,,,
278,10/04/21 03:33:42 AM,33774.9,69.39,,,,,,,
279,10/04/21 04:03:42 AM,33541.1,69.19,,,,,,,
280,10/04/21 04:33:42 AM,33086.3,68.95,,,,,,,
281,10/04/21 05:03:42 AM,33261.1,69.04,,,,,,,
282,10/04/21 05:33:42 AM,33686.0,69.19,,,,,,,
283,10/04/21 06:03:42 AM,33711.3,69.22,,,,,,,
284,10/04/21 06:33:42 AM,33883.4,69.22,,,,,,,
285,10/04/21 07:03:42 AM,33221.1,68.88,,,,,,,
286,10/04/21 07:33:42 AM,31945.1,68.13,,,,,,,
287,10/04/21 08:03:42 AM,31776.0,67.91,,,,,,,
288,10/04/21 08:33:42 AM,30984.3,67.53,,,,,,,
289,10/04/21 09:03:42 AM,32081.8,68.09,,,,,,,
290,10/04/21 09:33:42 AM,32739.3,68.45,,,,,,,
291,10/04/21 10:03:42 AM,32019.0,68.11,,,,,,,
292,10/04/21 10:33:42 AM,32027.6,68.11,,,,,,,
293,10/04/21 11:03:42 AM,32214.0,68.23,,,,,,,
294,10/04/21 11:33:42 AM,32335.7,68.41,,,,,,,
295,10/04/21 12:03:42 PM,31885.7,68.13,,,,,,,
296,10/04/21 12:33:42 PM,31711.6,68.09,,,,,,,
297,10/04/21 01:03:42 PM,31569.9,68.09,,,,,,,
298,10/04/21 01:33:42 PM,32478.8,68.45,,,,,,,
299,10/04/21 02:03:42 PM,31522.9,68.11,,,,,,,
300,10/04/21 02:33:42 PM,31578.2,68.14,,,,,,,
301,10/04/21 03:03:42 PM,31415.8,68.09,,,,,,,
302,10/04/21 03:33:42 PM,31233.6,67.98,,,,,,,
303,10/04/21 04:03:42 PM,31614.2,68.16,,,,,,,
304,10/04/21 04:33:42 PM,31899.8,68.27,,,,,,,
305,10/04/21 05:03:42 PM,30857.2,67.82,,,,,,,
306,10/04/21 05:33:42 PM,31257.9,67.98,,,,,,,
307,10/04/21 06:03:42 PM,31686.5,68.11,,,,,,,
308,10/04/21 06:33:42 PM,28538.5,66.25,,,,,,,
309,10/04/21 07:03:42 PM,30775.8,67.75,,,,,,,
310,10/04/21 07:33:42 PM,30383.0,67.35,,,,,,,
311,10/04/21 08:03:42 PM,30741.8,67.69,,,,,,,
312,10/04/21 08:33:42 PM,30309.2,67.42,,,,,,,
313,10/04/21 09:03:42 PM,30253.6,67.41,,,,,,,
314,10/04/21 09:33:42 PM,31426.8,67.98,,,,,,,
315,10/04/21 10:03:42 PM,30449.4,67.35,,,,,,,
316,10/04/21 10:33:42 PM,32793.1,68.43,,,,,,,
317,10/04/21 11:03:42 PM,32679.7,68.40,,,,,,,
318,10/04/21 11:33:42 PM,32245.8,68.18,,,,,,,
319,10/05/21 12:03:42 AM,31708.8,67.98,,,,,,,
320,10/05/21 12:33:42 AM,30045.5,67.21,,,,,,,
321,10/05/21 01:03:42 AM,30398.3,67.35,,,,,,,
322,10/05/21 01:33:42 AM,30077.9,67.05,,,,,,,
323,10/05/21 02:03:42 AM,28794.9,66.04,,,,,,,
324,10/05/21 02:33:42 AM,28835.9,66.20,,,,,,,
325,10/05/21 03:03:42 AM,29948.7,66.79,,,,,,,
326,10/05/21 03:33:42 AM,28357.1,65.55,,,,,,,
327,10/05/21 04:03:42 AM,29261.7,65.30,,,,,,,
328,10/05/21 04:33:42 AM,29061.0,65.44,,,,,,,
329,10/05/21 05:03:42 AM,29592.5,65.68,,,,,,,
330,10/05/21 05:33:42 AM,30233.4,66.60,,,,,,,
331,10/05/21 06:03:42 AM,30395.7,66.63,,,,,,,
332,10/05/21 06:33:42 AM,31013.5,67.06,,,,,,,
333,10/05/21 07:03:42 AM,31117.8,67.17,,,,,,,
334,10/05/21 07:33:42 AM,31396.7,67.41,,,,,,,
335,10/05/21 08:03:42 AM,30838.8,66.92,,,,,,,
336,10/05/21 08:33:42 AM,29867.4,65.37,,,,,,,
337,10/05/21 09:03:42 AM,30150.4,65.46,,,,,,,
338,10/05/21 09:33:42 AM,30286.4,65.80,,,,,,,
339,10/05/21 10:03:42 AM,30449.4,65.93,,,,,,,
340,10/05/21 10:33:42 AM,30767.9,66.34,,,,,,,
341,10/05/21 11:03:42 AM,29728.1,65.55,,,,,,,
342,10/05/21 11:33:42 AM,30147.9,65.82,,,,,,,
343,10/05/21 12:03:42 PM,29415.4,65.46,,,,,,,
344,10/05/21 12:33:42 PM,29771.9,65.73,,,,,,,
345,10/05/21 01:03:42 PM,28636.9,65.35,,,,,,,
346,10/05/21 01:33:42 PM,28708.9,65.57,,,,,,,
347,10/05/21 02:03:42 PM,29365.6,65.64,,,,,,,
348,10/05/21 02:33:42 PM,29219.5,65.79,,,,,,,
349,10/05/21 03:03:42 PM,29214.8,65.95,,,,,,,
350,10/05/21 03:33:42 PM,28001.6,65.41,,,,,,,
351,10/05/21 04:03:42 PM,28111.1,65.55,,,,,,,
352,10/05/21 04:33:42 PM,27825.3,65.52,,,,,,,
353,10/05/21 05:03:42 PM,28401.1,65.93,,,,,,,
354,10/05/21 05:33:42 PM,30281.4,66.45,,,,,,,
355,10/05/21 06:03:42 PM,30235.9,66.54,,,,,,,
356,10/05/21 06:33:42 PM,29349.0,66.31,,,,,,,
357,10/05/21 07:03:42 PM,29833.1,66.54,,,,,,,
358,10/05/21 07:33:42 PM,30762.7,66.85,,,,,,,
359,10/05/21 08:03:42 PM,31198.5,66.92,,,,,,,
360,10/05/21 08:33:42 PM,31611.4,67.21,,,,,,,
361,10/05/21 09:03:42 PM,30526.4,66.85,,,,,,,
362,10/05/21 09:33:42 PM,29742.7,65.95,,,,,,,
363,10/05/21 10:03:42 PM,29563.6,65.30,,,,,,,
364,10/05/21 10:33:42 PM,29840.4,65.66,,,,,,,
365,10/05/21 11:03:42 PM,30188.1,66.04,,,,,,,
366,10/05/21 11:33:42 PM,30349.9,66.27,,,,,,,
367,10/06/21 12:03:42 AM,30640.2,66.52,,,,,,,
368,10/06/21 12:33:42 AM,30342.3,66.24,,,,,,,
369,10/06/21 01:03:42 AM,30526.4,66.36,,,,,,,
370,10/06/21 01:33:42 AM,30762.7,66.67,,,,,,,
371,10/06/21 02:03:42 AM,30464.8,66.45,,,,,,,
372,10/06/21 02:33:42 AM,29147.0,65.95,,,,,,,
373,10/06/21 03:03:42 AM,30541.9,66.49,,,,,,,
374,10/06/21 03:33:42 AM,30296.6,66.40,,,,,,,
375,10/06/21 04:03:42 AM,28975.6,65.95,,,,,,,
376,10/06/21 04:33:42 AM,29803.7,65.73,,,,,,,
377,10/06/21 05:03:42 AM,30928.5,66.25,,,,,,,
378,10/06/21 05:33:42 AM,31109.7,66.67,,,,,,,
379,10/06/21 06:03:42 AM,30700.0,66.45,,,,,,,
380,10/06/21 06:33:42 AM,31168.8,66.72,,,,,,,
381,10/06/21 07:03:42 AM,31374.8,66.47,,,,,,,
382,10/06/21 07:33:42 AM,31939.5,66.79,,,,,,,
383,10/06/21 08:03:42 AM,32324.0,66.92,,,,,,,
384,10/06/21 08:33:42 AM,32027.6,66.88,,,,,,,
385,10/06/21 09:03:42 AM,32202.5,67.03,,,,,,,
386,10/06/21 09:33:42 AM,31753.5,66.72,,,,,,,
387,10/06/21 10:03:42 AM,31459.7,66.74,,,,,,,
388,10/06/21 10:33:42 AM,31350.3,66.63,,,,,,,
389,10/06/21 11:03:42 AM,31528.5,66.81,,,,,,,
390,10/06/21 11:33:42 AM,31778.8,66.99,,,,,,,
391,10/06/21 12:03:42 PM,31309.5,66.76,,,,,,,
392,10/06/21 12:33:42 PM,30606.5,66.52,,,,,,,
393,10/06/21 01:03:42 PM,30702.6,66.76,,,,,,,
394,10/06/21 01:33:42 PM,31174.2,67.50,,,,,,,
395,10/06/21 02:03:42 PM,30418.7,67.35,,,,,,,
396,10/06/21 02:33:42 PM,30500.7,67.77,,,,,,,
397,10/06/21 03:03:42 PM,30490.4,67.82,,,,,,,
398,10/06/21 03:33:42 PM,29723.2,68.07,,,,,,,
399,10/06/21 04:03:42 PM,30319.4,68.04,,,,,,,
400,10/06/21 04:33:42 PM,30648.0,68.09,,,,,,,
401,10/06/21 05:03:42 PM,30749.6,68.11,,,,,,,
402,10/06/21 05:33:42 PM,31658.7,68.18,,,,,,,
403,10/06/21 06:03:42 PM,31534.0,68.22,,,,,,,
404,10/06/21 06:33:42 PM,31882.9,68.07,,,,,,,
405,10/06/21 07:03:42 PM,32393.9,68.22,,,,,,,
406,10/06/21 07:33:42 PM,32257.3,68.16,,,,,,,
407,10/06/21 08:03:42 PM,32573.0,68.23,,,,,,,
408,10/06/21 08:33:42 PM,32781.1,68.25,,,,,,,
409,10/06/21 09:03:42 PM,32829.1,68.13,,,,,,,
