,Date,Temperature (C),pH,Battery
269,2021-07-16 04:00:02,23.47,7.6864,9.81
270,2021-07-16 04:59:57,23.04,7.8369,9.79
271,2021-07-16 06:00:00,22.96,7.8303,9.79
272,2021-07-16 07:00:02,22.99,7.8305,9.78
273,2021-07-16 07:59:57,23.09,7.8269,9.77
274,2021-07-16 09:00:00,23.09,7.8163,9.76
275,2021-07-16 10:00:02,23.07,7.8033,9.76
276,2021-07-16 10:59:57,23.07,7.7964,9.75
277,2021-07-16 12:00:00,23.09,7.7783,9.7
278,2021-07-16 13:00:02,23.14,7.7076,9.69
279,2021-07-16 13:59:57,23.42,7.5535,9.66
282,2021-07-16 16:59:57,24.06,7.7285,9.72
283,2021-07-16 18:00:00,24.63,7.8084,9.71
284,2021-07-16 19:00:02,25.02,7.8361,9.73
285,2021-07-16 19:59:57,25.08,7.8501,9.73
286,2021-07-16 21:00:00,24.92,7.8597,9.72
287,2021-07-16 22:00:02,24.79,7.871,9.74
288,2021-07-16 22:59:57,24.68,7.8683,9.75
289,2021-07-17 00:00:00,24.84,7.8534,9.71
290,2021-07-17 01:00:02,25.02,7.8059,9.68
291,2021-07-17 01:59:57,25.29,7.7064,9.66
292,2021-07-17 03:00:00,25.39,7.5494,9.6
293,2021-07-17 04:00:02,25.47,7.3709,9.69
294,2021-07-17 04:59:57,25.47,7.3554,9.72
295,2021-07-17 06:00:00,24.5,7.7018,9.72
296,2021-07-17 07:00:02,24.32,7.7522,9.71
297,2021-07-17 07:59:57,24.63,7.7483,9.71
298,2021-07-17 09:00:00,24.5,7.7725,9.69
299,2021-07-17 10:00:02,24.42,7.778,9.72
300,2021-07-17 10:59:57,24.32,7.7796,9.73
301,2021-07-17 12:00:00,24.37,7.7683,9.7
302,2021-07-17 13:00:02,24.5,7.7326,9.66
303,2021-07-17 13:59:57,24.66,7.6522,9.65
304,2021-07-17 15:00:00,25.02,7.4674,9.65
307,2021-07-17 18:00:00,24.58,7.7667,9.69
308,2021-07-17 19:00:02,24.68,7.8373,9.69
309,2021-07-17 19:59:57,25.0,7.8645,9.67
310,2021-07-17 21:00:00,25.08,7.8809,9.65
311,2021-07-17 22:00:02,25.5,7.8944,9.74
312,2021-07-17 22:59:57,25.05,7.9041,9.76
313,2021-07-18 00:00:00,24.87,7.9255,9.76
314,2021-07-18 01:00:02,25.15,7.8748,9.71
315,2021-07-18 01:59:57,25.31,7.8093,9.7
316,2021-07-18 03:00:00,25.36,7.6882,9.66
317,2021-07-18 04:00:02,25.6,7.5021,9.62
320,2021-07-18 07:00:02,23.91,7.7618,9.72
321,2021-07-18 07:59:57,23.86,7.7922,9.69
322,2021-07-18 09:00:00,23.83,7.7682,9.66
323,2021-07-18 10:00:02,24.01,7.7192,9.69
324,2021-07-18 10:59:57,23.75,7.7234,9.68
325,2021-07-18 12:00:00,23.65,7.7543,9.69
326,2021-07-18 13:00:02,23.7,7.7371,9.68
327,2021-07-18 13:59:57,23.99,7.719,9.62
328,2021-07-18 15:00:00,24.17,7.6735,9.62
329,2021-07-18 16:00:02,24.74,7.5328,9.61
331,2021-07-18 18:00:00,25.97,7.3502,9.7
332,2021-07-18 19:00:02,25.26,7.7879,9.71
333,2021-07-18 19:59:57,25.34,7.8415,9.7
334,2021-07-18 21:00:00,25.55,7.8556,9.71
335,2021-07-18 22:00:02,25.73,7.8638,9.71
336,2021-07-18 22:59:57,25.39,7.8737,9.72
337,2021-07-19 00:00:00,25.0,7.8758,9.71
338,2021-07-19 01:00:02,24.84,7.9016,9.74
339,2021-07-19 01:59:57,25.08,7.8445,9.7
340,2021-07-19 03:00:00,25.34,7.7914,9.62
341,2021-07-19 04:00:02,25.42,7.634,9.53
342,2021-07-19 04:59:57,25.44,7.4573,9.55
345,2021-07-19 07:59:57,24.89,7.6292,9.67
346,2021-07-19 09:00:00,25.05,7.722,9.68
347,2021-07-19 10:00:02,25.08,7.7652,9.68
348,2021-07-19 10:59:57,25.02,7.7902,9.69
349,2021-07-19 12:00:00,25.0,7.7903,9.71
350,2021-07-19 13:00:02,25.13,7.7946,9.73
351,2021-07-19 13:59:57,25.15,7.796,9.7
352,2021-07-19 15:00:00,25.26,7.7785,9.69
353,2021-07-19 16:00:02,25.5,7.7198,9.67
354,2021-07-19 16:59:57,25.97,7.5803,9.62
355,2021-07-19 18:00:00,26.43,7.4011,9.71
356,2021-07-19 19:00:02,26.59,7.4307,9.74
357,2021-07-19 19:59:57,26.48,7.7694,9.75
358,2021-07-19 21:00:00,26.43,7.8139,9.77
359,2021-07-19 22:00:02,26.27,7.8522,9.75
360,2021-07-19 22:59:57,26.13,7.8512,9.75
361,2021-07-20 00:00:00,25.84,7.8354,9.76
362,2021-07-20 01:00:02,25.55,7.8325,9.78
363,2021-07-20 01:59:57,25.42,7.8312,9.79
364,2021-07-20 03:00:00,25.55,7.8017,9.74
365,2021-07-20 04:00:02,25.66,7.7498,9.72
366,2021-07-20 04:59:57,25.58,7.6002,9.68
367,2021-07-20 06:00:00,25.52,7.5741,9.64
370,2021-07-20 09:00:00,24.3,7.6448,9.74
371,2021-07-20 10:00:02,23.65,7.7321,9.72
372,2021-07-20 10:59:57,23.65,7.7442,9.72
373,2021-07-20 12:00:00,23.81,7.7109,9.72
374,2021-07-20 13:00:02,23.88,7.7477,9.73
375,2021-07-20 13:59:57,23.99,7.7823,9.74
376,2021-07-20 15:00:00,24.24,7.7983,9.74
377,2021-07-20 16:00:02,24.45,7.7491,9.73
378,2021-07-20 16:59:57,24.87,7.7133,9.72
379,2021-07-20 18:00:00,25.76,7.5928,9.71
380,2021-07-20 19:00:02,26.51,7.4497,9.77
381,2021-07-20 19:59:57,25.73,7.6219,9.79
382,2021-07-20 21:00:00,25.31,7.8413,9.79
383,2021-07-20 22:00:02,25.36,7.862,9.8
384,2021-07-20 22:59:57,25.47,7.8641,9.79
385,2021-07-21 00:00:00,25.36,7.8559,9.79
386,2021-07-21 01:00:02,25.1,7.8566,9.8
387,2021-07-21 01:59:57,24.79,7.861,9.81
388,2021-07-21 03:00:00,24.79,7.8621,9.82
389,2021-07-21 04:00:02,24.76,7.8332,9.78
390,2021-07-21 04:59:57,24.92,7.7807,9.74
391,2021-07-21 06:00:00,24.97,7.6231,9.74
392,2021-07-21 07:00:02,25.05,7.4416,9.71
395,2021-07-21 10:00:02,24.4,7.5319,9.8
396,2021-07-21 10:59:57,24.4,7.7087,9.79
397,2021-07-21 12:00:00,24.35,7.7483,9.79
398,2021-07-21 13:00:02,24.4,7.7574,9.8
399,2021-07-21 13:59:57,24.53,7.7667,9.8
400,2021-07-21 15:00:00,24.66,7.7915,9.81
401,2021-07-21 16:00:02,24.95,7.7966,9.81
402,2021-07-21 16:59:57,25.18,7.7764,9.8
403,2021-07-21 18:00:00,25.66,7.73,9.77
404,2021-07-21 19:00:02,26.56,7.6122,9.79
405,2021-07-21 19:59:57,27.18,7.4445,9.84
406,2021-07-21 21:00:00,25.95,7.6705,9.87
407,2021-07-21 22:00:02,25.47,7.8499,9.85
408,2021-07-21 22:59:57,25.66,7.8673,9.85
409,2021-07-22 00:00:00,25.6,7.8824,9.85
410,2021-07-22 01:00:02,25.42,7.8654,9.84
411,2021-07-22 01:59:57,25.31,7.8747,9.85
412,2021-07-22 03:00:00,25.23,7.849,9.86
413,2021-07-22 04:00:02,25.21,7.8605,9.87
414,2021-07-22 04:59:57,25.08,7.8419,9.84
415,2021-07-22 06:00:00,25.0,7.8028,9.8
416,2021-07-22 07:00:02,24.71,7.6494,9.8
417,2021-07-22 07:59:57,24.63,7.4543,9.79
421,2021-07-22 12:00:00,24.06,7.7071,9.83
422,2021-07-22 13:00:02,24.04,7.7687,9.83
423,2021-07-22 13:59:57,24.06,7.799,9.83
424,2021-07-22 15:00:00,24.04,7.8135,9.84
425,2021-07-22 16:00:02,24.09,7.8227,9.84
426,2021-07-22 16:59:57,24.4,7.8433,9.84
427,2021-07-22 18:00:00,24.74,7.8229,9.83
428,2021-07-22 19:00:02,25.26,7.7693,9.83
429,2021-07-22 19:59:57,25.97,7.5797,9.84
430,2021-07-22 21:00:00,26.4,7.359,9.88
431,2021-07-22 22:00:02,24.48,7.7514,9.89
432,2021-07-22 22:59:57,23.75,7.8337,9.87
433,2021-07-23 00:00:00,23.88,7.8451,9.85
434,2021-07-23 01:00:02,24.24,7.859,9.85
435,2021-07-23 01:59:57,24.42,7.8497,9.86
436,2021-07-23 03:00:00,23.96,7.8255,9.86
437,2021-07-23 04:00:02,23.75,7.8163,9.86
438,2021-07-23 04:59:57,23.78,7.8285,9.86
439,2021-07-23 06:00:00,23.7,7.7936,9.83
440,2021-07-23 07:00:02,23.75,7.7488,9.81
441,2021-07-23 07:59:57,23.6,7.6247,9.79
442,2021-07-23 09:00:00,23.57,7.4297,9.8
446,2021-07-23 13:00:02,23.5,7.6894,9.84
447,2021-07-23 13:59:57,23.47,7.773,9.84
448,2021-07-23 15:00:00,23.63,7.806,9.84
449,2021-07-23 16:00:02,23.78,7.8355,9.85
450,2021-07-23 16:59:57,23.93,7.8745,9.86
451,2021-07-23 18:00:00,24.19,7.887,9.86
452,2021-07-23 19:00:02,24.55,7.8421,9.85
453,2021-07-23 19:59:57,25.1,7.7672,9.84
454,2021-07-23 21:00:00,25.97,7.5696,9.85
456,2021-07-23 22:59:57,24.89,7.7285,9.91
457,2021-07-24 00:00:00,24.22,7.8355,9.89
458,2021-07-24 01:00:02,24.04,7.8354,9.88
459,2021-07-24 01:59:57,23.83,7.8392,9.87
460,2021-07-24 03:00:00,23.83,7.8244,9.87
461,2021-07-24 04:00:02,23.75,7.8312,9.87
462,2021-07-24 04:59:57,23.68,7.8341,9.88
463,2021-07-24 06:00:00,23.63,7.8313,9.88
464,2021-07-24 07:00:02,23.57,7.7923,9.84
465,2021-07-24 07:59:57,23.47,7.7463,9.83
466,2021-07-24 09:00:00,23.22,7.5905,9.82
467,2021-07-24 10:00:02,23.22,7.3917,9.81
470,2021-07-24 13:00:02,23.22,7.6423,9.86
471,2021-07-24 13:59:57,23.4,7.8327,9.87
472,2021-07-24 15:00:00,23.73,7.8608,9.87
473,2021-07-24 16:00:02,23.96,7.8933,9.87
474,2021-07-24 16:59:57,24.24,7.9087,9.88
475,2021-07-24 18:00:00,24.45,7.9226,9.89
476,2021-07-24 19:00:02,24.71,7.9151,9.89
477,2021-07-24 19:59:57,24.89,7.8859,9.88
478,2021-07-24 21:00:00,25.34,7.8235,9.87
479,2021-07-24 22:00:02,25.92,7.642,9.89
480,2021-07-24 22:59:57,26.13,7.4176,9.92
481,2021-07-25 00:00:00,25.47,7.6186,9.93
482,2021-07-25 01:00:02,24.45,7.838,9.92
483,2021-07-25 01:59:57,24.22,7.8541,9.91
484,2021-07-25 03:00:00,24.04,7.8494,9.9
485,2021-07-25 04:00:02,24.14,7.8444,9.9
486,2021-07-25 04:59:57,24.11,7.8444,9.9
487,2021-07-25 06:00:00,24.01,7.841,9.91
488,2021-07-25 07:00:02,23.96,7.8543,9.91
489,2021-07-25 07:59:57,23.93,7.8295,9.88
490,2021-07-25 09:00:00,23.81,7.7648,9.87
491,2021-07-25 10:00:02,23.52,7.6124,9.86
492,2021-07-25 10:59:57,23.5,7.4251,9.86
495,2021-07-25 13:59:57,23.34,7.6874,9.89
496,2021-07-25 15:00:00,23.55,7.7405,9.9
497,2021-07-25 16:00:02,23.93,7.749,9.9
498,2021-07-25 16:59:57,23.93,7.7184,9.89
499,2021-07-25 18:00:00,23.88,7.7194,9.9
500,2021-07-25 19:00:02,23.88,7.7455,9.9
501,2021-07-25 19:59:57,23.78,7.7316,9.9
502,2021-07-25 21:00:00,23.68,7.7049,9.89
503,2021-07-25 22:00:02,23.52,7.6437,9.87
504,2021-07-25 22:59:57,23.29,7.5251,9.87
505,2021-07-26 00:00:00,23.27,7.3552,9.87
507,2021-07-26 01:59:57,23.4,7.6624,9.89
508,2021-07-26 03:00:00,23.29,7.6936,9.89
509,2021-07-26 04:00:02,23.32,7.6845,9.88
510,2021-07-26 04:59:57,23.47,7.6659,9.88
511,2021-07-26 06:00:00,23.57,7.6607,9.89
512,2021-07-26 07:00:02,23.57,7.6669,9.9
513,2021-07-26 07:59:57,23.52,7.7025,9.9
514,2021-07-26 09:00:00,23.5,7.6399,9.88
515,2021-07-26 10:00:02,23.37,7.5765,9.86
516,2021-07-26 10:59:57,23.17,7.4343,9.86
520,2021-07-26 15:00:00,23.93,7.5666,9.89
521,2021-07-26 16:00:02,23.99,7.6783,9.9
522,2021-07-26 16:59:57,24.14,7.7175,9.9
523,2021-07-26 18:00:00,24.48,7.7511,9.91
524,2021-07-26 19:00:02,24.63,7.7523,9.92
525,2021-07-26 19:59:57,24.5,7.7673,9.93
526,2021-07-26 21:00:00,24.79,7.7579,9.92
527,2021-07-26 22:00:02,25.0,7.7379,9.91
528,2021-07-26 22:59:57,25.42,7.6501,9.92
529,2021-07-27 00:00:00,25.66,7.4759,9.92
532,2021-07-27 03:00:00,24.17,7.6632,9.94
533,2021-07-27 04:00:02,24.22,7.6905,9.93
534,2021-07-27 04:59:57,24.19,7.6924,9.92
535,2021-07-27 06:00:00,23.91,7.7055,9.92
536,2021-07-27 07:00:02,23.75,7.7038,9.92
537,2021-07-27 07:59:57,23.57,7.7001,9.92
538,2021-07-27 09:00:00,23.57,7.6944,9.92
539,2021-07-27 10:00:02,23.63,7.6522,9.9
540,2021-07-27 10:59:57,23.63,7.5622,9.89
541,2021-07-27 12:00:00,23.68,7.4074,9.9
545,2021-07-27 16:00:02,23.81,7.7242,9.92
546,2021-07-27 16:59:57,24.22,7.7879,9.92
547,2021-07-27 18:00:00,24.32,7.8005,9.92
548,2021-07-27 19:00:02,24.5,7.813,9.93
549,2021-07-27 19:59:57,24.58,7.8487,9.94
550,2021-07-27 21:00:00,24.53,7.8527,9.94
551,2021-07-27 22:00:02,24.87,7.8703,9.94
552,2021-07-27 22:59:57,25.05,7.8337,9.93
553,2021-07-28 00:00:00,25.47,7.7282,9.93
554,2021-07-28 01:00:02,25.71,7.5483,9.94
557,2021-07-28 04:00:02,24.66,7.6991,9.95
558,2021-07-28 04:59:57,24.19,7.7602,9.94
559,2021-07-28 06:00:00,24.11,7.7439,9.94
560,2021-07-28 07:00:02,23.96,7.7486,9.93
561,2021-07-28 07:59:57,23.96,7.7512,9.93
562,2021-07-28 09:00:00,23.86,7.7466,9.93
563,2021-07-28 10:00:02,23.86,7.7392,9.92
564,2021-07-28 10:59:57,23.83,7.6929,9.92
565,2021-07-28 12:00:00,23.81,7.5725,9.91
566,2021-07-28 13:00:02,23.91,7.4069,9.91
569,2021-07-28 16:00:02,23.37,7.5607,9.93
570,2021-07-28 16:59:57,23.19,7.7952,9.92
571,2021-07-28 18:00:00,23.34,7.8544,9.92
572,2021-07-28 19:00:02,23.45,7.8892,9.92
