Date,Temp_High (F),Temp_Avg (F),Temp_Low (F),DewPoint_High (F),DewPoint_Avg (F),DewPoint_Low (F),Humidity_High (%),Humididy_Avg (%),Humidity_Low (%),Speed_High (mph),Speed_Avg (mph),Speed_Low (mph),Precipition_High (in),Precipition_Low (in),Precipition_Sum (in)
8/19/2023,72.9 ,69.8 ,65.8 ,67.6 ,63.2 ,57.9 ,88 ,80 ,68 ,24.4 ,7.2 ,0.0 ,29.99 ,29.81 ,0.00 
8/20/2023,76.5 ,72.1 ,67.8 ,70.7 ,65.9 ,60.8 ,92 ,81 ,68 ,21.3 ,5.0 ,0.0 ,30.07 ,29.98 ,0.00 
8/21/2023,80.8 ,74.2 ,70.5 ,75.9 ,71.9 ,68.4 ,99 ,93 ,81 ,8.1 ,0.1 ,0.0 ,30.06 ,29.96 ,0.00 
8/22/2023,73.2 ,67.1 ,60.1 ,70.7 ,61.2 ,54.3 ,99 ,83 ,53 ,19.2 ,0.7 ,0.0 ,30.07 ,29.95 ,0.45 
8/23/2023,74.7 ,66.3 ,58.8 ,63.5 ,59.5 ,53.6 ,99 ,81 ,49 ,8.9 ,0.0 ,0.0 ,30.14 ,30.05 ,0.00 
8/24/2023,72.9 ,67.6 ,61.3 ,66.6 ,62.9 ,59.5 ,98 ,85 ,70 ,12.8 ,0.6 ,0.0 ,30.13 ,30.05 ,0.00 
8/25/2023,70.5 ,67.4 ,62.1 ,70.2 ,66.9 ,61.0 ,99 ,98 ,90 ,22.6 ,2.3 ,0.0 ,30.06 ,29.86 ,0.86 
8/26/2023,80.8 ,72.6 ,68.0 ,76.8 ,71.7 ,67.6 ,99 ,97 ,86 ,14.5 ,0.2 ,0.0 ,29.86 ,29.79 ,0.13 
8/27/2023,72.7 ,67.3 ,63.0 ,70.3 ,66.4 ,62.6 ,99 ,97 ,89 ,8.3 ,0.1 ,0.0 ,30.02 ,29.81 ,0.00 
8/28/2023,77.2 ,67.7 ,62.8 ,70.3 ,65.3 ,62.4 ,99 ,93 ,75 ,3.1 ,0.0 ,0.0 ,30.10 ,30.00 ,0.00 
8/29/2023,78.6 ,69.6 ,61.5 ,74.3 ,68.6 ,61.2 ,99 ,97 ,85 ,6.0 ,0.0 ,0.0 ,30.07 ,29.84 ,0.10 
8/30/2023,73.6 ,72.1 ,68.9 ,73.2 ,71.2 ,64.4 ,99 ,97 ,80 ,22.8 ,1.9 ,0.0 ,29.84 ,29.60 ,0.17 
8/31/2023,70.2 ,65.0 ,56.3 ,65.1 ,57.9 ,48.4 ,94 ,79 ,49 ,19.9 ,1.1 ,0.0 ,30.10 ,29.69 ,0.00 
